,Mobile,Rating,Date,Review,Rating Month,Rating Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Others
27,vivo v3,4,26-Dec-16,needs regular softwares updates,Dec,2016,,,,,,,,
28,vivo v3,5,20-Nov-16,nice mobile,Nov,2016,,,,,,,,
29,vivo v3,5,23-Dec-16,nice phone,Dec,2016,,,,,,,,
30,vivo v3,2,09-Mar-17, poor battery life,Mar,2017,,Yes,,,,,,
31,vivo v3,5,17-Sep-17,worth  price,Sep,2017,,,,,,,,Yes
32,vivo v3,3,09-Mar-17,mobile  working fine     issue   battery   mobile   get charge upto   approx mintutes   charged upto   next  hours  might   defect…,Mar,2017,,Yes,,,,,,
33,vivo v3,5,13-Oct-16,excellent,Oct,2016,,,,,,,,
34,vivo v3,1,24-Jan-17,  got  phone battery   belongs  vivo company charger  looks like local shop purchase battery,Jan,2017,,Yes,,Yes,,,,
35,vivo v3,4,03-Nov-16,everything  just finebut warranty card   included   box,Nov,2016,,,,,,Yes,,Yes
36,vivo v3,5,09-Oct-16,excellent mobile   happy  amazon   selling original products,Oct,2016,,,,,,,,
37,vivo v3,5,29-Oct-16, good,Oct,2016,,,,,,,,
38,vivo v3,4,02-Sep-16, nice camera quality,Sep,2016,,,Yes,,,,,
39,vivo v3,5,03-Mar-17,good one,Mar,2017,,,,,,,,
40,vivo v3,4,01-Dec-16,nice,Dec,2016,,,,,,,,
41,vivo v3,3,04-Dec-16,good,Dec,2016,,,,,,,,
42,vivo v3,5,16-Dec-16,outstanding phone  great amaze  send  carefull  fast,Dec,2016,,,,,,,,
43,vivo v3,1,14-Apr-17, need new vivo v   working properly,Apr,2017,,,,,,,,
44,vivo v3,5,17-Dec-16,superb phone  front camera  also good  night  run high power games without  problem,Dec,2016,,,Yes,,,,,
45,vivo v3,3,08-Nov-16,average product    mark ,Nov,2016,,,,,,,,
46,vivo v3,3,14-Oct-16,good speed   fast  expected,Oct,2016,,,,,,,,
47,vivo v3,4,05-Dec-16,video calling futures  available,Dec,2016,Yes,,,,,,,Yes
48,vivo v3,5,10-Dec-16,phone  good,Dec,2016,,,,,,,,
49,vivo v3,1,27-Apr-18, havent purchased   amazon    vivo store   experience   terrible   phones keeps  switching    charged   one night    morning  useage  switched     charge   sure   charged     software updates extremely worst product  ever bought,Apr,2018,,Yes,,,,,Yes,
50,vivo v3,5,05-Jul-17,nice mobile vivo   best company  fecture   good many new features  cemera   good  nice product mobile   sliem  display  quarv   use  best fecture    usefull,Jul,2017,,,,,,,,
51,vivo v3,1,26-Dec-16,  ordered vivo v gb gold phone   got lenovo aa box  mobile  vivo  inside  box   lenovo phone also  battery  missing   box  also got wrong charger,Dec,2016,,Yes,,,,,,
52,vivo v3,5,02-Nov-16,nice phone  unfortunately    return,Nov,2016,,,,,,,,
53,vivo v3,5,27-Jan-17,gesturesprocessing  ui   much good  u get  smarter phoneso stop wandering  thumbs   vivo v,Jan,2017,,,,,,,,
54,vivo v3,4,04-Nov-16, nice  powerful phone loaded  good quality camera  attractive designvery good buythanks amazone  great packing  undamaged delivery realy fast,Nov,2016,,,Yes,,,,,
55,vivo v3,5,28-Aug-17, love  vivo v ever since  purchased   feel lost   phone         features    looking   nearly  years   dont feel like changing   got    spent   piece thanks  vivo,Aug,2017,,,,Yes,,,,
56,vivo v3,5,01-Dec-16,nice phone  everyone   try   sure  everything  best nothing  complaint    concern   usage  lifestyle  meets   angle…,Dec,2016,,,,,,,,
57,vivo v3,4,06-Nov-16,best phone st  price  purchased   lightening deal  rs  ,Nov,2016,,,,,,,,Yes
58,vivo v3,3,06-Jul-16, year  use fully satisfied thé caméra  awesome  snapdragon  good enough  gb ram  handle  app  os  also smooth   battery  dissapointment reason  average life  hours  moderate use white clicking pictures battery drain  les  jours time   reason gave  star,Jul,2016,,Yes,,,,,,
59,vivo v3,5,24-Jan-18,vivo v  best phone  using continusley  playing games  doesnot heat  battery backup  fast    year   little bit battery issue   normal  compare   smartphone  changing battey  works fine,Jan,2018,,Yes,,,,,,
60,vivo v3,5,19-Dec-16,nice  super phone    using  mobile   wonder   features   well   battery backup finally  loved       old mobile,Dec,2016,,Yes,,,,,,
61,vivo v3,4,27-Jun-16,im writing   months  use  phone  great  performance  volte  dedicated memory card slot  present  battery  average  camera  good  lots  hidden feature ,Jun,2016,,Yes,Yes,,,Yes,,
62,vivo v3,2,21-Oct-16,   issue like breaking voice   times  will volume  automatically  zero level  cant listen  thing   seconds     network issue   mobile issue,Oct,2016,Yes,,,,,,,
63,vivo v3,5,28-Aug-17, handset   powerful  smooth working  features   good  hang  lang  good product  vivo,Aug,2017,,,,,,,,
64,vivo v3,5,22-Jun-17,osm phone   want  sell  vivo v  month older  rupee ,Jun,2017,,,,,,,,
65,vivo v3,1,21-Aug-17,never gave android update,Aug,2017,,,,,,,Yes,
66,vivo v3,5,15-Aug-16,best phone  buy   price two sim slots  separate sd card slot gb inbuild rom allows smooth performance good battery life  day  average use fun touch os   good   lot  gesture controls phone   lag  hang camera  also  good better phone  oppo f samsung j one plus x moto g used    comparing looks  feels awesome  hand form factor  size perfect  one hand use speaker output also  loud  clear     complete package    good budget review   days  use,Aug,2016,,Yes,,,,Yes,,Yes
67,vivo v3,5,18-Jan-17,really wonderfulgreat satisfaction   device,Jan,2017,,,,Yes,,,,
68,vivo v3,5,07-Oct-16,nice   term slim light weight camera  nice battery  bit less  okay music   beautiful,Oct,2016,Yes,Yes,Yes,Yes,,,,
69,vivo v3,5,04-Aug-17,pros  performance  software   phone  amazing cons   battery backup  low   play online games like coc,Aug,2017,,Yes,,,,,,
70,vivo v3,5,22-Aug-16, use vivo v mobile  fantastic  superb  mobile    fast  easily use  phone use  best technologyfaster  fast mobile,Aug,2016,,,,Yes,,,,
71,vivo v3,5,20-Oct-16,amazing phonecamera  better   phone   price range,Oct,2016,,,,,,,,Yes
72,vivo v3,5,10-Mar-17,awsome mobile phone,Mar,2017,,,,,,,,
73,vivo v3,3,20-Jan-18,  mobile  gud    software upgrade dont   mobile   wants updates,Jan,2018,,,,,,,Yes,
74,vivo v3,1,04-Dec-16,even adding  apps  whitelist installed  playstore push notifications   comes,Dec,2016,,,,,,,,
75,vivo v3,1,17-Sep-17,even  star  also waste   firstly amazon send   used productthere   small scratch even though  phone  looking good  internal memory  phone featuresmostly  liked finger print lockso  accepted  phone even  small scratch   screenbut  phone battery    worsteven    get one day even  didnt used neti thought return  within two days  unfortunately   personal reasons  couldnt done ittoday  kept   return  refundbut anyhow amazon  going  issue refundthanks  amazon     worthy product really  battery backup    badsmall disappointmentbecause   long time  purchased  mobile    worked overtime  spend money  buy  lost   gone like ,Sep,2017,,Yes,,,Yes,,,
76,vivo v3,5,11-Aug-17,better   phone ie oppo samsung mi gud camera  great performance go  ,Aug,2017,,,Yes,,,,,
77,vivo v3,5,20-Sep-17,great performance  best quality,Sep,2017,,,,,,,,
78,vivo v3,5,14-Oct-17, one year  usage   awesome  bought just  battery problem,Oct,2017,,Yes,,,,,,
79,vivo v3,5,11-Nov-17,   good phone  better camera quality,Nov,2017,,,Yes,,,,,
80,vivo v3,5,17-Jun-17,  days  use   found  vivo  released  awesome handsetfirst    camera  awesome battery backup  good display  awesome  compared   smartphones   rangeits funtouch os  excellent build quilty  awesome tooat  moment gb ram always remains available   gb ram,Jun,2017,,Yes,Yes,,,Yes,,
81,vivo v3,1,12-Oct-16,dont buy plz   purchased vivo v mobile  amazon   days since  days mobile  overheating   charge  talking plz dont buy bcoz now amazon also told   directly solve  issue  refund policy now changed,Oct,2016,,Yes,,,,,,
82,vivo v3,5,09-Aug-16,nice mobile one small problem   night conditions camera quality  average  days  will   camerathen install snapdragon guru app  play store  will improve ur vivo battery lifeit  specially designed  vivo,Aug,2016,,Yes,Yes,,,,Yes,
83,vivo v3,3,16-Aug-16,good   problem  camera quality camera quality  avg,Aug,2016,,,Yes,,,,,
84,vivo v3,3,24-Sep-16,overall performance  fine  received  product slightly damaged  back case finishing      mark,Sep,2016,,,,,,,,
85,vivo v3,5,17-Apr-17, good model phoneiam using  mnths iits work   good iam well satisfiy   model  good camerwith front  rear,Apr,2017,,,Yes,,,,,
86,vivo v3,4,13-Jun-16,fine mobile  good quality camera  super fast handling,Jun,2016,,,Yes,,,,,
87,vivo v3,5,04-Jan-17,good smartphone  range  k bt  takes   hrs  full charge otherwise  features  amazing,Jan,2017,,Yes,,,,,,
88,vivo v3,5,22-Oct-16,  amazing phone   buying  phone   market  battery backup   good camera also good,Oct,2016,,Yes,Yes,,,,,
89,vivo v3,5,26-May-16,awesome mobile,May,2016,,,,,,,,
90,vivo v3,4,01-Feb-17,hi iam vakal  purchase  phone months back  well  good camera clarity,Feb,2017,,,Yes,,,,,
91,vivo v3,5,02-Dec-16,awesome mobile phone ever    things cameraweight screen resolution    specifications  just perfect   perfect phone vivo  fantastic loved   ,Dec,2016,,,Yes,,,,,
92,vivo v3,3,05-Nov-16, charging time     hoursits worst   ever seen    hours  continuous usage   device     chargethis  seriously bulls,Nov,2016,,Yes,,Yes,,,,
93,vivo v3,5,22-Nov-16,hey    using  since last three month awsomeeeee faster  faster good battery back  evrthng  goooooooddddf,Nov,2016,,Yes,,,,,,
94,vivo v3,5,05-Nov-16,best phone   class comes  great smart features  doesnt hanga clear winner   price rangealso  great pair  features   phones dont ,Nov,2016,Yes,,Yes,,,,,
95,vivo v3,4,16-Dec-16, good model bfr  used   lenovo athis doesnt hang  anythng,Dec,2016,,,,,,,,
96,vivo v3,4,12-Apr-17,kya ye phone back side se gold color  h,Apr,2017,,,,,,,,
97,vivo v3,4,02-Nov-16,camera  good battery backup  excellent    problem  fingerprint scanner  speed  unlocking decreases  sometimes  doesnt work,Nov,2016,,Yes,Yes,,Yes,,,
98,vivo v3,5,14-May-16, awsm phone unbeatable  need  see  rivews jst order   fast,May,2016,,,,,,,,
99,vivo v3,3,09-Dec-16,  vamsi    finger print dosnt respond quickly   remaining features  super,Dec,2016,,,,,Yes,,,
100,vivo v3,5,8-20-2017,amazing features  hang  network catching power  highly active area  jk  good instead  mi phones,0-2,2017,Yes,,,,,,,
101,vivo v3,4,17-Jan-17, best phone u get   price  stabilitysound qualitycamera  just awesome   price  offers  mp n mp camera  gb ram n  gb rom  battery stays  long time    amazon deal  just become great lastly  liked   much,Jan,2017,,Yes,Yes,,,Yes,,Yes
102,vivo v3,5,25-May-16,simply osum phone  love wid vivo can b buyed  closed eyes,May,2016,,,,,,,,
103,vivo v3,3,15-Jan-17,phone  getting heat  performance  good,Jan,2017,,Yes,,,,,,
104,vivo v3,5,07-Dec-17,super working,Dec,2017,,,,,,,,
105,vivo v3,1,22-May-16,dont buy  phone bcs camera quality  poor  heating problem nothing good   waste  money,May,2016,,Yes,Yes,,,,,
106,vivo v3,4,13-Jun-16, nice  faster comparing  mobiles,Jun,2016,,,,,,,,
107,vivo v3,2,18-Nov-17,phone  awsome   problem  camera quality  average  phone  heating  u play games   phone get hang  using uc browser    app  long time,Nov,2017,,,Yes,,,,,
108,vivo v3,1,23-Dec-16,worst bying phone  battery backup  battery afternoon heat  using internet  late charging  hour  android  update available  customer care good feedback,Dec,2016,,Yes,,,,,Yes,
109,vivo v3,5,06-Dec-16, purchased   shop   using  since last  days  good mobile  inch duel sim fast hd price  higher side k  battery   mah    dischatging  slow    issue    planning     go ahead   side,Dec,2016,,Yes,,,,,,
110,vivo v3,5,11-Jun-16,first    buy  phone  local seller   scaring  buying  phone  inever heard   companybut  buying  impressed  phone    advanced features   better  samsung,Jun,2016,,,,,,,,
111,vivo v3,5,26-Sep-16,awesome phone  went  market  buy asus zenfone max   saw vivo v mobile   impressed  features camera ram everything   buy    amazing mobile,Sep,2016,,,,,,Yes,,
112,vivo v3,5,09-Feb-17,best phone ever   used finger print unlock  awesome speed  awesome screen size perfect,Feb,2017,,,,Yes,Yes,,,
113,vivo v3,5,03-Jul-16,im bought  local shop im   superb phone,Jul,2016,,,,,,,,
114,vivo v3,4,17-Oct-16,nice phone  every purpose  battery   mah   enough quality phone,Oct,2016,,Yes,,,,,,
115,vivo v3,2,30-Oct-16,average specificationsbut  pricedbetter  go  xiaomi redmi note s plus,Oct,2016,,,,,,,,
116,vivo v3,5,30-Oct-16,well  didnt purchase  online bt  gotta say  phone  amazing although   notice  minor lags bt  okay  get abt   hrs  screen  time   battery   excellent bt  good overall  u r looking   budget oriented phone u  buy ,Oct,2016,,Yes,,Yes,,,,Yes
117,vivo v3,1,26-Oct-16,beware  indians  phone   china   destroys fast   chinese products ,Oct,2016,,,,,,,,
118,vivo v3,1,23-Oct-16, jv ordered vivo v   got  product  box  empty oh  god,Oct,2016,,,,,,,,
119,vivo v3,4,22-Jul-16, lagging  fast  rear camera quality  excellent front camera  ok finger print sensor  one   best feature    working  good fun touch os option  excellent  battery backup  good recommend  everyone especially  loves camera,Jul,2016,,Yes,Yes,,Yes,,,
120,vivo v3,4,04-Nov-16,vivo v   good phone  best pricei get   local storebut camera quality   good  zommingbattery backup   enought   phone,Nov,2016,,Yes,Yes,,,,,
121,vivo v3,4,25-Oct-16,two sim  sd card working  time  ,Oct,2016,,,,,,Yes,,
122,vivo v3,4,17-Jun-16,fall  love   phone  smooth  good  realiable,Jun,2016,,,,,,,,
123,vivo v3,5,26-Jun-16,just one wordamazing folks bought  phone offline  great fear  scared  chinese phones etc  tryly amazing phone  company  lag whatsoever battery    day superb camera  pics crystal clear melodious music amazing screen  touch  heating  anything   price   wonder phone buy  blindly,Jun,2016,Yes,Yes,,Yes,,,,
124,vivo v3,1,17-Sep-16, purchased  phone  one month  one retail shop spice hot  looking good   phone  pakka china  s camera   clarity  like  mega pixel    one wants  buy  phone  can buy    days  will definitely crying   lost  money ,Sep,2016,,,Yes,,,,,
125,vivo v3,4,10-Aug-16,   phone nice phone,Aug,2016,,,,,,,,
126,vivo v3,4,19-Jul-16,phone  good  excellent display  touch  issues  far,Jul,2016,,,,Yes,,,,
127,vivo v3,5,15-Aug-16,adorable fuctions  features luv ,Aug,2016,,,,,,,,
128,vivo v3,5,11-Aug-16,   fast phone     niceee phone,Aug,2016,,,,,,,,
129,vivo v3,5,04-Sep-16,nice  mobile amazing features  smartphone      want harley davidsons feature  honda activa,Sep,2016,,,,,,,,
130,vivo v3,5,03-Oct-16,ultimate phones,Oct,2016,,,,,,,,
131,vivo v3,5,11-Aug-16,quality product value  money best   range,Aug,2016,,,,,,,,
132,vivo v3,4,08-Oct-16,excellent,Oct,2016,,,,,,,,
133,vivo v3,5,21-Aug-16,   awesome phone   purchase  one  retailarohh   good camera quality  superbly awesome  lagging  heating issue nd fingerprint sensor  really faster  faster battery backup   good  really awesome   price ,Aug,2016,,Yes,Yes,,Yes,,,Yes
134,vivo v3,1,24-Dec-16,battery backup   bad,Dec,2016,,Yes,,,,,,
135,vivo v3,5,29-Sep-16,  beautiful device  use,Sep,2016,,,,Yes,,,,
136,vivo v3,3,29-Oct-16,phone  good even everything  best  charging time  ,Oct,2016,,Yes,,,,,,
137,vivo v3,4,17-Oct-16, gud product   segment,Oct,2016,,,,,,,,
138,vivo v3,4,04-Apr-17,gud one worth,Apr,2017,,,,,,,,
139,vivo v3,5,22-Mar-17,awesome smart phone  wont get stuck  phone   speed finger print  working well  can install heavy games camera s  super   mp front camera  super clarity   awesome   doubt buy  product awesome product,Mar,2017,,,Yes,,Yes,,,
140,vivo v3,4,17-Jan-17,mobile good charging avg,Jan,2017,,Yes,,,,,,
141,vivo v3,4,11-Jan-17,vivo v  good smartphone   ever boughtonly problem  battery mah  drains  fast     support direct video call like samsung g  lyf mobilesbut  fingerprint sensor works well   leg works fastthank  vivo  flipkart,Jan,2017,,Yes,,,Yes,,,Yes
142,vivo v3,1,06-Jan-17,feauter  good  mobile  heating,Jan,2017,,Yes,,,,,,
143,vivo v3,3,28-Dec-16,pros   hybrid slot good performance slim  light factory fixed glass guard  back case louder sounds battery comes   day     can last longer   mah  cons  white color  available  gold back cover heats  little  using internet    option  owner info  readability view option internet receptivity  lowthe  phone   sim  high internet speed,Dec,2016,,Yes,,,,,,
144,vivo v3,5,26-Dec-16,good phone one can definitely invest  still options  available   range   wana experience android based ios  can go   one stars   side  vivo,Dec,2016,,,,,,,Yes,
145,vivo v3,3,19-Dec-16, mobile phone  heating  hag battery backup    good front camera    good pls  buy  mobile phone,Dec,2016,,Yes,Yes,,,,,
146,vivo v3,4,29-Oct-16,battery back    good othervise faster  fast mobile,Oct,2016,,Yes,,,,,,
147,vivo v3,1,06-Oct-16,  video calling feature  front camera  ok  better ,Oct,2016,Yes,,Yes,,,,,Yes
148,vivo v3,3,28-Nov-16,vivo v ka battery pack   poor hai aur internet chlate sme garam ho jata hai iska front camera raat mai  poor hai kabhi kabhi dono camera response dena band kar dete hain screen full black ho jati hai  m  happy,Nov,2016,,Yes,Yes,Yes,,,,
149,vivo v3,2,24-Sep-16,dont purchase paid materials  flipkartmaterial will  deliver  time,Sep,2016,,,,,,,,
150,vivo v3,2,12-Oct-16,everything  good except battery performance dont buy  phone    even  average user battery goes    hours  average use    charge  two times   dayit   horrible experience  vivo v,Oct,2016,,Yes,,,,,,
151,vivo v3,2,24-Jan-16,mobile back camera   good  heating issue waste  money  buy vivo v ,Jan,2016,,Yes,Yes,,,,,
152,vivo v3,2,12-Dec-16, poor battery back  hangs  lot  looks  good rest phone   worth k category takes time  charge  well,Dec,2016,,Yes,,Yes,,,,
153,vivo v3,2,22-Oct-16,blue dart   solw delivery side   cant give product  delivery,Oct,2016,,,,,,,,
154,vivo v3,4,06-Sep-16,today  bougbta  phone  rhe prise      gb memory card  samsungand back cover also   wana say  flipcart  dont cheet people,Sep,2016,,,,,,Yes,,
