"","Attribute","Term_Freq","Doc_Freq","TFIDF","Camera","Battery","Performance","Memory"
"213","great",10,9,28.5263142991332,1,1,0,0
"214","guard",1,1,5.04985600724954,1,0,0,0
"215","guru",1,1,5.04985600724954,0,0,0,0
"216","h",1,111,0.340325805937203,0,0,0,0
"217","haft",1,1,5.04985600724954,0,0,0,0
"218","hag",1,1,5.04985600724954,0,0,0,0
"219","ham",4,4,14.6542465845186,0,0,0,0
"220","Hamsun",4,5,13.7616723792617,0,0,0,0
"221","hand",2,7,6.20789171638845,1,1,0,0
"222","handle",1,1,5.04985600724954,0,1,2,0
"223","handling",1,1,5.04985600724954,0,1,1,0
"224","handset",2,2,8.71341765337918,0,0,0,0
"225","handy",1,1,5.04985600724954,0,0,0,0
"226","hang",5,10,13.7363545712775,0,0,0,0
"227","hangs",2,2,8.71341765337918,0,0,0,0
"228","happy",3,3,11.8537311557443,0,0,0,0
"229","Harley",1,1,5.04985600724954,0,0,0,0
"230","has",1,12,2.56494935746154,0,0,0,0
"231","have",2,2,8.71341765337918,0,0,0,0
"232","heard",1,1,5.04985600724954,0,0,0,0
"233","heat",3,13,7.454719949364,0,8,0,0
"234","heating",8,9,22.8210514393065,0,0,0,0
"235","heavy",1,1,5.04985600724954,0,0,0,0
"236","hf",1,1,5.04985600724954,0,3,0,0
"237","hidden",1,1,5.04985600724954,0,0,0,0
"238","hie",4,1,20.1994240289981,0,0,0,0
"239","high",3,5,10.3212542844463,1,28,7,3
"240","higher",1,1,5.04985600724954,3,13,2,2
"241","ho",1,81,0.655406852577098,0,0,0,0
"242","hog",1,1,5.04985600724954,0,0,0,0
"243","Honda",1,1,5.04985600724954,0,0,0,0
"244","horrible",1,1,5.04985600724954,0,0,0,0
"245","hot",1,1,5.04985600724954,1,0,0,0
"246","hour",1,5,3.44041809481544,0,0,0,0
"247","hours",6,4,21.9813698767779,0,3,0,0
"248","hrs",1,2,4.35670882668959,0,0,0,0
"249","hybrid",1,1,5.04985600724954,1,3,0,0
"250","i",9,133,1.43556191125005,0,0,1,0
"251","ii",1,1,5.04985600724954,0,0,1,0
"252","impressed",2,2,8.71341765337918,0,0,0,0
"253","improve",1,1,5.04985600724954,2,3,1,1
"254","inbuilt",1,1,5.04985600724954,0,0,0,0
"255","inch",1,1,5.04985600724954,1,0,0,0
"256","included",1,1,5.04985600724954,3,1,0,0
"257","including",1,1,5.04985600724954,3,7,0,2
"258","Indians",1,1,5.04985600724954,0,0,0,0
"259","info",1,1,5.04985600724954,0,0,0,0
"260","install",2,3,7.90248743716286,0,0,0,0
"261","installed",1,1,5.04985600724954,0,2,0,0
"262","internal",1,1,5.04985600724954,1,13,1,0
"263","INTERNET",5,3,19.7562185929071,0,0,0,0
"264","invest",1,1,5.04985600724954,0,0,0,0
"265","is",5,35,7.47253972880062,0,1,0,0
"266","issue",10,10,27.4727091425549,0,2,0,0
"267","issues",2,2,8.71341765337918,1,2,0,0
"268","items",2,1,10.0997120144991,0,1,0,0
"269","j",1,9,2.85263142991332,0,2,0,1
"270","jato",1,1,5.04985600724954,0,0,0,0
"271","JV",1,1,5.04985600724954,0,0,0,0
"272","k",3,60,2.86653433508231,0,0,0,0
"273","kart",1,1,5.04985600724954,0,0,0,0
"274","Kathi",2,1,10.0997120144991,0,0,0,0
"275","keeps",1,1,5.04985600724954,0,0,0,0
"276","kept",1,1,5.04985600724954,0,2,0,0
"277","key",1,1,5.04985600724954,0,1,1,0
"278","lag",3,6,9.77428961406445,1,0,0,0
"279","lagging",2,2,8.71341765337918,0,0,0,0
"280","lags",1,1,5.04985600724954,0,0,0,0
"281","Lang",1,1,5.04985600724954,0,0,0,0
"282","last",2,4,7.32712329225929,0,1,0,0
"283","late",1,2,4.35670882668959,4,0,0,2
"284","leg",1,2,4.35670882668959,0,0,0,0
"285","Leno",3,2,13.0701264800688,0,0,0,0
"286","less",1,1,5.04985600724954,3,6,1,2
"287","level",1,1,5.04985600724954,1,2,0,1
"288","life",4,5,13.7616723792617,1,19,1,0
"289","lifestyle",1,1,5.04985600724954,0,0,0,0
"290","light",2,4,7.32712329225929,1,1,1,0
"291","lightening",1,1,5.04985600724954,0,0,0,0
"292","liked",2,2,8.71341765337918,0,0,0,0
"293","line",4,4,14.6542465845186,0,0,0,4
"294","lira",1,1,5.04985600724954,0,0,0,0
"295","list",1,3,3.95124371858143,0,3,0,1
"296","listen",1,1,5.04985600724954,0,0,0,0
"297","little",2,2,8.71341765337918,0,0,0,0
"298","loaded",1,1,5.04985600724954,0,0,0,0
"299","local",4,4,14.6542465845186,2,0,0,0
"300","locks",1,1,5.04985600724954,0,0,0,0
"301","long",3,5,10.3212542844463,2,4,4,2
"302","looking",4,4,14.6542465845186,0,0,0,0
"303","looks",3,3,11.8537311557443,0,0,0,0
"304","lost",3,3,11.8537311557443,0,0,0,5
"305","lot",2,5,6.88083618963087,0,0,0,0
"306","lots",2,3,7.90248743716286,0,0,0,0
"307","louder",1,1,5.04985600724954,0,0,0,0
"308","love",3,7,9.31183757458267,0,0,0,0
"309","loved",2,2,8.71341765337918,0,0,0,0
"310","lovers",1,1,5.04985600724954,0,0,0,0
"311","loves",1,1,5.04985600724954,0,0,0,0
"312","low",2,6,6.51619307604296,0,18,4,0
"313","lug",1,1,5.04985600724954,0,0,0,0
"314","m",1,106,0.38641691313747,0,2,0,0
"315","macer",1,1,5.04985600724954,0,0,0,0
"316","Mai",1,1,5.04985600724954,0,0,0,0
"317","many",2,2,8.71341765337918,3,6,1,2
"318","mark",2,4,7.32712329225929,0,0,0,0
"319","market",2,2,8.71341765337918,0,3,0,0
"320","marshmallow",1,1,5.04985600724954,0,0,0,0
"321","materials",1,1,5.04985600724954,0,26,1,0
"322","max",1,1,5.04985600724954,0,1,0,0
"323","meets",1,1,5.04985600724954,0,0,0,0
"324","mega",1,1,5.04985600724954,0,0,0,0
"325","melodious",1,1,5.04985600724954,0,0,0,0
"326","memory",3,3,11.8537311557443,4,1,1,144
"327","mi",6,12,15.3896961447692,0,0,0,0
"328","minor",2,2,8.71341765337918,0,0,0,0
"329","minutes",1,1,5.04985600724954,0,3,0,0
"330","missing",1,1,5.04985600724954,1,0,0,0
"331","mobile",36,30,59.3517105211457,11,7,2,0
"332","mobiles",3,3,11.8537311557443,0,0,0,0
"333","mode",1,4,3.66356164612965,1,0,0,0
"334","model",3,2,13.0701264800688,3,4,1,0
"335","moderate",1,1,5.04985600724954,0,1,0,0
"336","moment",1,1,5.04985600724954,1,0,1,0
"337","money",5,5,17.2020904740772,0,0,0,0
"338","month",3,6,9.77428961406445,0,6,0,0
"339","months",3,3,11.8537311557443,1,1,0,0
"340","moot",1,5,3.44041809481544,0,0,0,0
"341","morning",1,1,5.04985600724954,0,0,0,0
"342","mp",3,16,6.83180185502927,3,0,0,0
"343","music",3,3,11.8537311557443,0,0,0,0
"344","n",1,131,0.174658684048385,4,1,9,2
"345","ND",1,1,5.04985600724954,0,0,0,0
"346","need",1,3,3.95124371858143,1,1,0,3
"347","needs",1,1,5.04985600724954,0,1,1,1
"348","net",1,3,3.95124371858143,0,1,1,0
"349","network",2,2,8.71341765337918,3,1,3,0
"350","new",2,2,8.71341765337918,4,3,1,0
"351","next",1,1,5.04985600724954,0,0,0,1
"352","nice",23,20,47.2448458749976,0,0,0,0
"353","Nicene",1,1,5.04985600724954,0,0,0,0
"354","night",3,3,11.8537311557443,0,0,0,0
"355","no",3,28,5.152954491223,0,0,0,0
"356","normal",1,1,5.04985600724954,0,4,0,0
"357","note",1,1,5.04985600724954,0,2,0,0
"358","nothing",2,2,8.71341765337918,0,0,0,0
"359","notice",1,1,5.04985600724954,0,0,0,0
"360","notifications",1,1,5.04985600724954,0,0,0,0
"361","offers",1,1,5.04985600724954,0,3,0,2
"362","OK",4,4,14.6542465845186,0,0,0,0
"363","okay",2,2,8.71341765337918,0,0,0,0
"364","old",1,6,3.25809653802148,0,0,0,0
"365","older",1,1,5.04985600724954,0,2,0,0
"366","oms",1,1,5.04985600724954,0,0,0,0
"367","one",3,82,1.92941027995585,7,13,8,8
"368","operating",1,1,5.04985600724954,0,7,4,10
"369","option",3,3,11.8537311557443,0,0,0,0
"370","options",1,1,5.04985600724954,1,0,0,0
"371","order",1,4,3.66356164612965,0,2,0,0
"372","ordered",2,2,8.71341765337918,0,1,0,0
"373","orders",1,1,5.04985600724954,0,0,1,0
"374","oriented",1,1,5.04985600724954,0,0,0,0
"375","original",2,2,8.71341765337918,0,1,0,0
"376","OS",2,4,7.32712329225929,0,0,0,0
"377","output",1,1,5.04985600724954,0,2,4,0
"378","outstanding",1,1,5.04985600724954,0,0,0,0
"379","overall",2,2,8.71341765337918,0,2,2,0
"380","overheating",1,1,5.04985600724954,0,3,0,0
"381","overtime",1,1,5.04985600724954,0,0,0,0
"382","owner",1,1,5.04985600724954,0,0,0,0
"383","pack",1,3,3.95124371858143,0,8,0,1
"384","package",1,1,5.04985600724954,0,1,0,0
"385","packing",1,1,5.04985600724954,0,0,0,0
"386","paid",1,1,5.04985600724954,0,0,0,0
"387","pair",1,1,5.04985600724954,0,0,0,0
"388","pap",3,4,10.9906849383889,0,0,0,0
"389","parka",1,1,5.04985600724954,0,0,0,0
"390","people",2,2,8.71341765337918,6,0,0,0
"391","perfect",4,3,15.8049748743257,0,0,0,0
"392","performance",10,10,27.4727091425549,5,18,66,1
"393","personal",1,1,5.04985600724954,3,2,0,0
"394","phone",95,74,70.8501368343099,47,3,0,0
"395","phonemic",1,1,5.04985600724954,0,0,0,0
"396","phones",6,6,19.5485792281289,66,6,1,0
"397","pica",1,1,5.04985600724954,0,0,0,0
"398","pictures",1,1,5.04985600724954,8,0,0,0
"399","piece",1,1,5.04985600724954,0,0,1,0
"400","pixel",1,1,5.04985600724954,2,0,0,0
"401","pl",2,22,3.91762710778244,0,0,0,0
"402","placed",1,1,5.04985600724954,0,0,0,0
"403","planning",2,2,8.71341765337918,0,0,0,0
"404","play",4,9,11.4105257196533,0,0,0,0
"405","playing",1,1,5.04985600724954,1,0,0,0
"406","points",1,1,5.04985600724954,0,1,0,0
"407","policy",1,1,5.04985600724954,0,0,0,0
"408","poop",2,2,8.71341765337918,0,0,0,0
"409","poor",7,6,22.8066757661504,1,4,0,0
"410","power",2,4,7.32712329225929,2,13,4,11
"411","powerful",2,2,8.71341765337918,0,0,0,0
"412","present",1,1,5.04985600724954,0,3,0,0
"413","price",14,14,33.7511814868799,0,1,0,0
"414","priced",1,1,5.04985600724954,0,0,0,0
"415","pries",1,1,5.04985600724954,0,0,0,0
"416","print",6,9,17.1157885794799,0,0,0,0
"417","prise",1,1,5.04985600724954,0,0,0,0
"418","problem",8,9,22.8210514393065,0,2,3,0
"419","problems",1,1,5.04985600724954,1,2,0,0
"420","processing",1,1,5.04985600724954,0,0,3,1
"421","product",17,17,37.6829252742865,0,1,0,0
"422","products",2,2,8.71341765337918,0,4,0,0
"423","pros",2,2,8.71341765337918,0,0,0,0
"424","proud",1,1,5.04985600724954,0,0,0,0
"425","purchase",5,12,12.8247467873077,0,0,0,0
"426","purchased",7,7,21.7276210073596,0,0,0,0
"427","purpose",1,1,5.04985600724954,1,0,0,0
"428","push",1,1,5.04985600724954,0,0,0,0
"429","put",1,2,4.35670882668959,0,0,1,1
"430","quality",17,16,38.7135438451659,3,1,3,0
"431","quart",1,1,5.04985600724954,0,0,0,0
"432","quilt",1,1,5.04985600724954,0,0,0,0
"433","r",1,130,0.182321556793955,0,0,0,0
"434","ram",5,6,16.2904826901074,0,0,1,11
"435","range",6,6,19.5485792281289,0,11,0,1
"436","rat",1,5,3.44041809481544,0,0,0,0
"437","readability",1,1,5.04985600724954,0,0,0,0
"438","rear",2,2,8.71341765337918,1,0,0,0
"439","reason",2,2,8.71341765337918,0,1,1,0
"440","reasons",1,1,5.04985600724954,0,2,0,0
"441","received",2,2,8.71341765337918,0,1,0,0
"442","receptivity",1,1,5.04985600724954,0,0,0,0
"443","recommend",2,2,8.71341765337918,0,0,0,0
"444","red",1,6,3.25809653802148,0,0,0,0
"445","reduction",1,1,5.04985600724954,0,4,0,0
"446","refund",3,2,13.0701264800688,0,0,0,0
"447","regular",1,1,5.04985600724954,1,1,0,1
"448","relay",1,1,5.04985600724954,0,0,0,0
"449","released",1,1,5.04985600724954,4,1,0,0
"450","reliable",1,1,5.04985600724954,0,1,1,0
"451","remaining",1,1,5.04985600724954,0,0,0,0
"452","remains",1,1,5.04985600724954,0,1,0,0
"453","resolution",1,1,5.04985600724954,6,0,0,0
"454","respond",1,1,5.04985600724954,0,0,2,0
"455","response",1,1,5.04985600724954,0,0,10,0
"456","rest",2,2,8.71341765337918,0,1,0,0
"457","retail",1,2,4.35670882668959,0,0,0,0
"458","retailer",1,1,5.04985600724954,0,0,0,0
"459","return",3,2,13.0701264800688,0,0,0,0
"460","review",1,1,5.04985600724954,0,0,0,0
"461","rives",1,1,5.04985600724954,0,0,0,0
"462","ROM",2,2,8.71341765337918,0,0,0,0
"463","rs",2,19,4.21083405616619,0,0,0,0
"464","run",1,1,5.04985600724954,2,0,3,2
"465","rupee",1,1,5.04985600724954,0,0,0,0
"466","s",2,114,0.627315117710083,6,6,0,5
"467","sale",1,1,5.04985600724954,2,0,0,0
"468","satisfaction",1,1,5.04985600724954,0,0,1,0
"469","satisfied",1,1,5.04985600724954,0,0,0,0
"470","satisfy",1,1,5.04985600724954,0,0,0,0
"471","saw",1,1,5.04985600724954,0,0,0,0
"472","say",2,2,8.71341765337918,0,0,0,0
"473","scanner",1,1,5.04985600724954,0,0,0,0
"474","scared",1,1,5.04985600724954,0,0,0,0
"475","scaring",1,1,5.04985600724954,0,0,0,0
"476","scratch",2,1,10.0997120144991,0,0,0,0
"477","screen",6,6,19.5485792281289,1,0,2,0
"478","SD",2,2,8.71341765337918,0,0,0,0
"479","SE",1,1,5.04985600724954,0,0,0,0
"480","seconds",1,1,5.04985600724954,0,1,2,0
"481","see",2,7,6.20789171638845,1,8,4,2
"482","seem",4,4,14.6542465845186,0,0,0,0
"483","seen",1,1,5.04985600724954,1,1,0,0
"484","segment",1,1,5.04985600724954,0,0,0,0
"485","sell",1,3,3.95124371858143,0,0,0,0
"486","seller",1,1,5.04985600724954,0,0,0,0
"487","selling",1,1,5.04985600724954,0,0,0,0
"488","send",2,2,8.71341765337918,2,1,0,0
"489","sensor",3,3,11.8537311557443,5,0,0,0
"490","separate",1,1,5.04985600724954,5,3,0,0
"491","shop",4,4,14.6542465845186,0,0,0,0
"492","side",5,5,17.2020904740772,0,0,0,0
"493","Siva",1,1,5.04985600724954,0,0,0,0
"494","size",2,2,8.71341765337918,1,3,1,0
"495","slate",1,1,5.04985600724954,0,0,0,0
"496","sleek",2,2,8.71341765337918,0,0,0,0
"497","slim",2,3,7.90248743716286,0,0,0,0
"498","slime",1,1,5.04985600724954,0,0,0,0
"499","slot",3,3,11.8537311557443,0,0,0,0
"500","slots",1,1,5.04985600724954,0,0,0,0
"501","slow",2,2,8.71341765337918,1,2,0,2
"502","small",4,2,17.4268353067584,5,6,1,2
"503","smart",7,8,20.7929012589879,2,3,1,0
"504","smarter",1,1,5.04985600724954,0,0,0,0
"505","smile",1,1,5.04985600724954,0,0,0,0
"506","smooth",5,5,17.2020904740772,0,0,0,0
"507","snapdragon",2,2,8.71341765337918,0,0,0,0
"508","snow",1,1,5.04985600724954,0,0,0,0
"509","software",3,4,10.9906849383889,1,1,11,2
"510","softwares",1,1,5.04985600724954,0,0,0,0
"511","solve",1,1,5.04985600724954,0,0,0,0
"512","sound",1,2,4.35670882668959,0,0,0,1
"513","sounds",1,1,5.04985600724954,0,0,0,0
"514","speaker",2,2,8.71341765337918,0,0,0,0
"515","specifications",2,2,8.71341765337918,0,0,0,0
"516","speed",7,7,21.7276210073596,0,1,6,3
"517","spend",1,1,5.04985600724954,0,0,0,0
"518","spent",1,1,5.04985600724954,0,0,0,0
"519","spice",1,1,5.04985600724954,0,0,0,0
"520","spread",1,1,5.04985600724954,2,0,0,0
"521","st",1,61,0.938982143076226,1,0,0,0
"522","stability",1,1,5.04985600724954,0,6,1,0
"523","star",2,3,7.90248743716286,0,0,0,0
"524","stars",1,1,5.04985600724954,0,0,0,0
"525","stays",1,1,5.04985600724954,0,0,0,1
"526","stop",1,1,5.04985600724954,1,0,0,0
"527","storage",1,1,5.04985600724954,2,8,1,11
"528","store",5,5,17.2020904740772,2,1,0,8
"529","stuck",1,1,5.04985600724954,0,0,0,0
"530","stylish",1,1,5.04985600724954,0,0,0,0
"531","suggest",1,1,5.04985600724954,0,0,0,0
"532","sum",1,1,5.04985600724954,0,0,1,0
"533","super",7,12,17.9546455022308,0,2,0,0
"534","superb",5,6,16.2904826901074,0,0,0,0
