"","rating_df.i...Mobile..","rating_df.i...Rating..","rating_df.i...Date..","articles.corpus..1...content","rating_df.i...Rating_Month..","rating_df.i...Rating_Year..","lda.terms..Topic.1..","lda.terms..Topic.2..","lda.terms..Topic.3..","lda.terms..Topic.4..","lda.terms..Topic.5..","lda.terms..Topic.6..","lda.terms..Topic.7..","lda.terms..Topic.8..","lda.terms..Topic.9..","lda.terms..Topic.10.."
"Topic 117","vivo v3",5,"31-Jan-17","good phone  budget price","Jan","2017","budget","budget","phone","budget","budget","good","budget","budget","price","budget"
"Topic 118","vivo v3",5,"31-Jul-17","high price   good quality","Jul","2017","good","good","price","good","good","high","good","good","quality","good"
"Topic 119","vivo v3",4,"26-Jan-17","smooth working super speed sleek  stylish","Jan","2017","sleek","super","sleek","sleek","speed","smooth","sleek","sleek","working","stylish"
"Topic 120","vivo v3",4,"13-Nov-16","worth deal","Nov","2016","deal","deal","deal","deal","deal","deal","deal","worth","deal","deal"
"Topic 121","vivo v3",4,"09-Nov-16","good product","Nov","2016","good","good","good","good","good","good","good","product","good","good"
"Topic 122","vivo v3",5,"07-Dec-16","good productbut   buy  pries  decrease","Dec","2016","buy","buy","buy","buy","decrease","buy","good","buy","buy","pries"
"Topic 123","vivo v3",4,"04-Nov-16","fast  faster","Nov","2016","fast","fast","fast","fast","fast","fast","fast","faster","fast","fast"
"Topic 124","vivo v3",4,"29-Apr-17","good phone","Apr","2017","good","good","good","good","good","good","good","phone","good","good"
"Topic 125","vivo v3",4,"20-Mar-17","good","Mar","2017","good","good","good","good","good","good","good","good","good","good"
"Topic 126","vivo v3",4,"26-Dec-16","needs regular softwares updates","Dec","2016","needs","needs","softwares","needs","needs","regular","needs","needs","updates","needs"
"Topic 127","vivo v3",5,"20-Nov-16","nice mobile","Nov","2016","mobile","mobile","mobile","mobile","mobile","mobile","mobile","nice","mobile","mobile"
"Topic 128","vivo v3",5,"23-Dec-16","nice phone","Dec","2016","nice","nice","nice","nice","nice","nice","nice","phone","nice","nice"
"Topic 129","vivo v3",2,"09-Mar-17"," poor battery life","Mar","2017","battery","battery","battery","life","battery","battery","battery","poor","battery","battery"
"Topic 130","vivo v3",5,"17-Sep-17","worth  price","Sep","2017","price","price","price","price","price","price","price","worth","price","price"
"Topic 131","vivo v3",3,"09-Mar-17","mobile  working fine     issue   battery   mobile   get charge upto   approx mintutes   charged upto   next  hours  might   defect…","Mar","2017","battery","mintutes","approx","approx","defect…","might","charge","next","mobile","upto"
"Topic 132","vivo v3",5,"13-Oct-16","excellent","Oct","2016","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent"
"Topic 133","vivo v3",1,"24-Jan-17","  got  phone battery   belongs  vivo company charger  looks like local shop purchase battery","Jan","2017","battery","charger","battery","purchase","belongs","battery","battery","got","like","battery"
"Topic 134","vivo v3",4,"03-Nov-16","everything  just finebut warranty card   included   box","Nov","2016","box","box","included","box","card","finebut","box","everything","warranty","box"
"Topic 135","vivo v3",5,"09-Oct-16","excellent mobile   happy  amazon   selling original products","Oct","2016","amazon","amazon","original","amazon","excellent","mobile","amazon","happy","selling","amazon"
"Topic 136","vivo v3",5,"29-Oct-16"," good","Oct","2016","good","good","good","good","good","good","good","good","good","good"
"Topic 137","vivo v3",4,"02-Sep-16"," nice camera quality","Sep","2016","camera","camera","camera","nice","camera","camera","camera","quality","camera","camera"
"Topic 138","vivo v3",5,"03-Mar-17","good one","Mar","2017","good","good","good","good","good","good","good","one","good","good"
"Topic 139","vivo v3",4,"01-Dec-16","nice","Dec","2016","nice","nice","nice","nice","nice","nice","nice","nice","nice","nice"
"Topic 140","vivo v3",3,"04-Dec-16","good","Dec","2016","good","good","good","good","good","good","good","good","good","good"
"Topic 141","vivo v3",5,"16-Dec-16","outstanding phone  great amaze  send  carefull  fast","Dec","2016","amaze","amaze","outstanding","amaze","carefull","great","amaze","fast","send","amaze"
"Topic 142","vivo v3",1,"14-Apr-17"," need new vivo v   working properly","Apr","2017","need","need","need","need","new","need","properly","need","need","vivo"
"Topic 143","vivo v3",5,"17-Dec-16","superb phone  front camera  also good  night  run high power games without  problem","Dec","2016","also","games","also","run","front","camera","also","high","also","also"
"Topic 144","vivo v3",3,"08-Nov-16","average product    mark ","Nov","2016","average","average","average","mark","average","average","average","product","average","average"
"Topic 145","vivo v3",3,"14-Oct-16","good speed   fast  expected","Oct","2016","expected","expected","good","expected","expected","fast","expected","expected","speed","expected"
"Topic 146","vivo v3",4,"05-Dec-16","video calling futures  available","Dec","2016","available","available","futures","available","available","calling","available","available","video","available"
"Topic 147","vivo v3",5,"10-Dec-16","phone  good","Dec","2016","good","good","good","good","good","good","good","phone","good","good"
"Topic 148","vivo v3",1,"27-Apr-18"," havent purchased   amazon    vivo store   experience   terrible   phones keeps  switching    charged   one night    morning  useage  switched     charge   sure   charged     software updates extremely worst product  ever bought","Apr","2018","extremely","experience","bought","amazon","phones","charge","store","ever","one","keeps"
"Topic 149","vivo v3",5,"05-Jul-17","nice mobile vivo   best company  fecture   good many new features  cemera   good  nice product mobile   sliem  display  quarv   use  best fecture    usefull","Jul","2017","best","company","new","many","fecture","good","usefull","best","mobile","best"
"Topic 150","vivo v3",1,"26-Dec-16","  ordered vivo v gb gold phone   got lenovo aa box  mobile  vivo  inside  box   lenovo phone also  battery  missing   box  also got wrong charger","Dec","2016","also","got","lenovo","box","lenovo","got","box","charger","battery","inside"
"Topic 151","vivo v3",5,"02-Nov-16","nice phone  unfortunately    return","Nov","2016","nice","nice","return","nice","nice","phone","nice","nice","unfortunately","nice"
"Topic 152","vivo v3",5,"27-Jan-17","gesturesprocessing  ui   much good  u get  smarter phoneso stop wandering  thumbs   vivo v","Jan","2017","gesturesprocessing","gesturesprocessing","wandering","gesturesprocessing","stop","smarter","much","good","gesturesprocessing","get"
"Topic 153","vivo v3",4,"04-Nov-16"," nice  powerful phone loaded  good quality camera  attractive designvery good buythanks amazone  great packing  undamaged delivery realy fast","Nov","2016","delivery","good","great","buythanks","realy","designvery","attractive","amazone","fast","amazone"
"Topic 154","vivo v3",5,"28-Aug-17"," love  vivo v ever since  purchased   feel lost   phone         features    looking   nearly  years   dont feel like changing   got    spent   piece thanks  vivo","Aug","2017","like","phone","dont","changing","changing","features","purchased","feel","ever","love"
"Topic 155","vivo v3",5,"01-Dec-16","nice phone  everyone   try   sure  everything  best nothing  complaint    concern   usage  lifestyle  meets   angle…","Dec","2016","meets","everyone","angle…","nice","lifestyle","sure","everything","complaint","try","angle…"
"Topic 156","vivo v3",4,"06-Nov-16","best phone st  price  purchased   lightening deal  rs  ","Nov","2016","best","price","best","best","lightening","deal","best","best","purchased","phone"
"Topic 157","vivo v3",3,"06-Jul-16"," year  use fully satisfied thé caméra  awesome  snapdragon  good enough  gb ram  handle  app  os  also smooth   battery  dissapointment reason  average life  hours  moderate use white clicking pictures battery drain  les  jours time   reason gave  star","Jul","2016","app","awesome","use","enough","average","drain","good","battery","also","battery"
"Topic 158","vivo v3",5,"24-Jan-18","vivo v  best phone  using continusley  playing games  doesnot heat  battery backup  fast    year   little bit battery issue   normal  compare   smartphone  changing battey  works fine","Jan","2018","compare","best","issue","continusley","backup","battey","bit","battery","battery","normal"
"Topic 159","vivo v3",5,"19-Dec-16","nice  super phone    using  mobile   wonder   features   well   battery backup finally  loved       old mobile","Dec","2016","nice","loved","backup","old","super","using","backup","mobile","well","backup"
"Topic 160","vivo v3",4,"27-Jun-16","im writing   months  use  phone  great  performance  volte  dedicated memory card slot  present  battery  average  camera  good  lots  hidden feature ","Jun","2016","hidden","feature","great","volte","battery","average","camera","present","card","average"
"Topic 161","vivo v3",2,"21-Oct-16","   issue like breaking voice   times  will volume  automatically  zero level  cant listen  thing   seconds     network issue   mobile issue","Oct","2016","issue","volume","cant","voice","thing","breaking","zero","automatically","issue","automatically"
"Topic 162","vivo v3",5,"28-Aug-17"," handset   powerful  smooth working  features   good  hang  lang  good product  vivo","Aug","2017","features","product","powerful","handset","good","hang","smooth","lang","features","good"
"Topic 163","vivo v3",5,"22-Jun-17","osm phone   want  sell  vivo v  month older  rupee ","Jun","2017","month","rupee","month","month","month","want","older","sell","month","month"
"Topic 164","vivo v3",1,"21-Aug-17","never gave android update","Aug","2017","android","android","never","android","android","gave","android","android","update","android"
"Topic 165","vivo v3",5,"15-Aug-16","best phone  buy   price two sim slots  separate sd card slot gb inbuild rom allows smooth performance good battery life  day  average use fun touch os   good   lot  gesture controls phone   lag  hang camera  also  good better phone  oppo f samsung j one plus x moto g used    comparing looks  feels awesome  hand form factor  size perfect  one hand use speaker output also  loud  clear     complete package    good budget review   days  use","Aug","2016","controls","use","buy","good","also","feels","allows","phone","one","awesome"
"Topic 166","vivo v3",5,"18-Jan-17","really wonderfulgreat satisfaction   device","Jan","2017","device","device","satisfaction","device","device","really","device","device","wonderfulgreat","device"
"Topic 167","vivo v3",5,"07-Oct-16","nice   term slim light weight camera  nice battery  bit less  okay music   beautiful","Oct","2016","battery","camera","nice","slim","bit","beautiful","battery","battery","music","battery"
"Topic 168","vivo v3",5,"04-Aug-17","pros  performance  software   phone  amazing cons   battery backup  low   play online games like coc","Aug","2017","low","cons","amazing","online","like","play","games","battery","pros","amazing"
"Topic 169","vivo v3",5,"22-Aug-16"," use vivo v mobile  fantastic  superb  mobile    fast  easily use  phone use  best technologyfaster  fast mobile","Aug","2016","technologyfaster","best","fast","fantastic","fast","superb","phone","mobile","best","easily"
"Topic 170","vivo v3",5,"20-Oct-16","amazing phonecamera  better   phone   price range","Oct","2016","amazing","price","amazing","amazing","phone","better","amazing","amazing","range","phonecamera"
"Topic 171","vivo v3",5,"10-Mar-17","awsome mobile phone","Mar","2017","awsome","awsome","awsome","mobile","awsome","awsome","awsome","phone","awsome","awsome"
"Topic 172","vivo v3",3,"20-Jan-18","  mobile  gud    software upgrade dont   mobile   wants updates","Jan","2018","dont","software","dont","dont","mobile","wants","gud","updates","dont","dont"
"Topic 173","vivo v3",1,"04-Dec-16","even adding  apps  whitelist installed  playstore push notifications   comes","Dec","2016","whitelist","apps","adding","installed","adding","comes","adding","adding","adding","even"
"Topic 174","vivo v3",1,"17-Sep-17","even  star  also waste   firstly amazon send   used productthere   small scratch even though  phone  looking good  internal memory  phone featuresmostly  liked finger print lockso  accepted  phone even  small scratch   screenbut  phone battery    worsteven    get one day even  didnt used neti thought return  within two days  unfortunately   personal reasons  couldnt done ittoday  kept   return  refundbut anyhow amazon  going  issue refundthanks  amazon     worthy product really  battery backup    badsmall disappointmentbecause   long time  purchased  mobile    worked overtime  spend money  buy  lost   gone like ","Sep","2017","even","couldnt","small","accepted","amazon","done","disappointmentbecause","featuresmostly","badsmall","phone"
"Topic 175","vivo v3",5,"11-Aug-17","better   phone ie oppo samsung mi gud camera  great performance go  ","Aug","2017","better","oppo","better","better","better","samsung","camera","performance","better","better"
"Topic 176","vivo v3",5,"20-Sep-17","great performance  best quality","Sep","2017","best","best","performance","best","best","great","best","best","quality","best"
"Topic 177","vivo v3",5,"14-Oct-17"," one year  usage   awesome  bought just  battery problem","Oct","2017","awesome","one","awesome","awesome","awesome","year","battery","problem","awesome","awesome"
"Topic 178","vivo v3",5,"11-Nov-17","   good phone  better camera quality","Nov","2017","better","better","better","better","camera","better","good","better","better","phone"
"Topic 179","vivo v3",5,"17-Jun-17","  days  use   found  vivo  released  awesome handsetfirst    camera  awesome battery backup  good display  awesome  compared   smartphones   rangeits funtouch os  excellent build quilty  awesome tooat  moment gb ram always remains available   gb ram","Jun","2017","awesome","days","found","always","available","awesome","battery","build","ram","awesome"
"Topic 180","vivo v3",1,"12-Oct-16","dont buy plz   purchased vivo v mobile  amazon   days since  days mobile  overheating   charge  talking plz dont buy bcoz now amazon also told   directly solve  issue  refund policy now changed","Oct","2016","dont","buy","also","mobile","told","directly","charge","now","days","bcoz"
"Topic 181","vivo v3",5,"09-Aug-16","nice mobile one small problem   night conditions camera quality  average  days  will   camerathen install snapdragon guru app  play store  will improve ur vivo battery lifeit  specially designed  vivo","Aug","2016","conditions","app","camera","snapdragon","days","camerathen","will","average","battery","play"
"Topic 182","vivo v3",3,"16-Aug-16","good   problem  camera quality camera quality  avg","Aug","2016","avg","avg","problem","camera","quality","avg","camera","avg","quality","avg"
"Topic 183","vivo v3",3,"24-Sep-16","overall performance  fine  received  product slightly damaged  back case finishing      mark","Sep","2016","back","performance","overall","fine","back","case","product","mark","back","damaged"
"Topic 184","vivo v3",5,"17-Apr-17"," good model phoneiam using  mnths iits work   good iam well satisfiy   model  good camerwith front  rear","Apr","2017","camerwith","model","iam","good","good","iits","well","phoneiam","rear","camerwith"
"Topic 185","vivo v3",4,"13-Jun-16","fine mobile  good quality camera  super fast handling","Jun","2016","camera","handling","camera","camera","camera","super","fast","mobile","camera","camera"
"Topic 186","vivo v3",5,"04-Jan-17","good smartphone  range  k bt  takes   hrs  full charge otherwise  features  amazing","Jan","2017","amazing","amazing","takes","amazing","otherwise","hrs","full","features","amazing","charge"
"Topic 187","vivo v3",5,"22-Oct-16","  amazing phone   buying  phone   market  battery backup   good camera also good","Oct","2016","also","good","good","battery","phone","amazing","buying","market","camera","backup"
"Topic 188","vivo v3",5,"26-May-16","awesome mobile","May","2016","awesome","awesome","awesome","awesome","awesome","awesome","awesome","mobile","awesome","awesome"
"Topic 189","vivo v3",4,"01-Feb-17","hi iam vakal  purchase  phone months back  well  good camera clarity","Feb","2017","back","back","well","back","phone","months","good","clarity","back","camera"
"Topic 190","vivo v3",5,"02-Dec-16","awesome mobile phone ever    things cameraweight screen resolution    specifications  just perfect   perfect phone vivo  fantastic loved   ","Dec","2016","cameraweight","awesome","loved","specifications","just","mobile","things","vivo","fantastic","awesome"
"Topic 191","vivo v3",3,"05-Nov-16"," charging time     hoursits worst   ever seen    hours  continuous usage   device     chargethis  seriously bulls","Nov","2016","bulls","continuous","bulls","time","charging","chargethis","bulls","ever","bulls","bulls"
"Topic 192","vivo v3",5,"22-Nov-16","hey    using  since last three month awsomeeeee faster  faster good battery back  evrthng  goooooooddddf","Nov","2016","goooooooddddf","awsomeeeee","faster","hey","faster","month","awsomeeeee","battery","three","awsomeeeee"
"Topic 193","vivo v3",5,"05-Nov-16","best phone   class comes  great smart features  doesnt hanga clear winner   price rangealso  great pair  features   phones dont ","Nov","2016","great","rangealso","clear","best","phone","dont","class","features","hanga","best"
"Topic 194","vivo v3",4,"16-Dec-16"," good model bfr  used   lenovo athis doesnt hang  anythng","Dec","2016","used","athis","anythng","good","anythng","bfr","anythng","anythng","anythng","doesnt"
"Topic 195","vivo v3",4,"12-Apr-17","kya ye phone back side se gold color  h","Apr","2017","back","phone","back","back","gold","color","back","back","side","kya"
"Topic 196","vivo v3",4,"02-Nov-16","camera  good battery backup  excellent    problem  fingerprint scanner  speed  unlocking decreases  sometimes  doesnt work","Nov","2016","good","doesnt","backup","problem","fingerprint","speed","excellent","camera","unlocking","backup"
"Topic 197","vivo v3",5,"14-May-16"," awsm phone unbeatable  need  see  rivews jst order   fast","May","2016","unbeatable","fast","awsm","order","awsm","jst","awsm","awsm","awsm","need"
"Topic 198","vivo v3",3,"09-Dec-16","  vamsi    finger print dosnt respond quickly   remaining features  super","Dec","2016","vamsi","features","dosnt","quickly","dosnt","finger","dosnt","dosnt","dosnt","print"
"Topic 199","vivo v3",5,"8-20-2017","amazing features  hang  network catching power  highly active area  jk  good instead  mi phones","0-2","2017","active","area","active","features","network","instead","active","phones","highly","amazing"
"Topic 1100","vivo v3",4,"17-Jan-17"," best phone u get   price  stabilitysound qualitycamera  just awesome   price  offers  mp n mp camera  gb ram n  gb rom  battery stays  long time    amazon deal  just become great lastly  liked   much","Jan","2017","amazon","camera","offers","battery","become","lastly","great","awesome","ram","just"
"Topic 1101","vivo v3",5,"25-May-16","simply osum phone  love wid vivo can b buyed  closed eyes","May","2016","buyed","buyed","wid","buyed","phone","osum","eyes","closed","buyed","can"
"Topic 1102","vivo v3",3,"15-Jan-17","phone  getting heat  performance  good","Jan","2017","getting","getting","getting","getting","good","getting","heat","getting","getting","performance"
"Topic 1103","vivo v3",5,"07-Dec-17","super working","Dec","2017","super","super","super","super","super","super","super","working","super","super"
"Topic 1104","vivo v3",1,"22-May-16","dont buy  phone bcs camera quality  poor  heating problem nothing good   waste  money","May","2016","bcs","dont","bcs","problem","camera","buy","bcs","heating","bcs","bcs"
"Topic 1105","vivo v3",4,"13-Jun-16"," nice  faster comparing  mobiles","Jun","2016","comparing","comparing","mobiles","comparing","comparing","faster","comparing","comparing","nice","comparing"
"Topic 1106","vivo v3",2,"18-Nov-17","phone  awsome   problem  camera quality  average  phone  heating  u play games   phone get hang  using uc browser    app  long time","Nov","2017","camera","phone","awsome","problem","phone","average","browser","app","get","app"
"Topic 1107","vivo v3",1,"23-Dec-16","worst bying phone  battery backup  battery afternoon heat  using internet  late charging  hour  android  update available  customer care good feedback","Dec","2016","afternoon","available","customer","late","battery","update","bying","battery","heat","internet"
"Topic 1108","vivo v3",5,"06-Dec-16"," purchased   shop   using  since last  days  good mobile  inch duel sim fast hd price  higher side k  battery   mah    dischatging  slow    issue    planning     go ahead   side","Dec","2016","higher","ahead","good","dischatging","purchased","days","side","slow","mobile","shop"
"Topic 1109","vivo v3",5,"11-Jun-16","first    buy  phone  local seller   scaring  buying  phone  inever heard   companybut  buying  impressed  phone    advanced features   better  samsung","Jun","2016","buying","samsung","impressed","buy","scaring","phone","better","phone","features","advanced"
"Topic 1110","vivo v3",5,"26-Sep-16","awesome phone  went  market  buy asus zenfone max   saw vivo v mobile   impressed  features camera ram everything   buy    amazing mobile","Sep","2016","impressed","camera","features","mobile","amazing","awesome","buy","max","market","amazing"
"Topic 1111","vivo v3",5,"09-Feb-17","best phone ever   used finger print unlock  awesome speed  awesome screen size perfect","Feb","2017","awesome","ever","awesome","speed","best","awesome","awesome","perfect","phone","awesome"
"Topic 1112","vivo v3",5,"03-Jul-16","im bought  local shop im   superb phone","Jul","2016","bought","bought","bought","bought","local","bought","phone","bought","bought","shop"
"Topic 1113","vivo v3",4,"17-Oct-16","nice phone  every purpose  battery   mah   enough quality phone","Oct","2016","quality","enough","phone","nice","battery","every","battery","battery","battery","mah"
"Topic 1114","vivo v3",2,"30-Oct-16","average specificationsbut  pricedbetter  go  xiaomi redmi note s plus","Oct","2016","average","average","redmi","average","note","pricedbetter","average","plus","xiaomi","average"
"Topic 1115","vivo v3",5,"30-Oct-16","well  didnt purchase  online bt  gotta say  phone  amazing although   notice  minor lags bt  okay  get abt   hrs  screen  time   battery   excellent bt  good overall  u r looking   budget oriented phone u  buy ","Oct","2016","buy","abt","battery","abt","didnt","phone","although","amazing","looking","okay"
"Topic 1116","vivo v3",1,"26-Oct-16","beware  indians  phone   china   destroys fast   chinese products ","Oct","2016","beware","fast","beware","beware","beware","products","china","indians","beware","beware"
"Topic 1117","vivo v3",1,"23-Oct-16"," jv ordered vivo v   got  product  box  empty oh  god","Oct","2016","box","box","ordered","box","empty","got","box","god","vivo","box"
"Topic 1118","vivo v3",4,"22-Jul-16"," lagging  fast  rear camera quality  excellent front camera  ok finger print sensor  one   best feature    working  good fun touch os option  excellent  battery backup  good recommend  everyone especially  loves camera","Jul","2016","battery","especially","camera","camera","recommend","front","finger","everyone","good","best"
"Topic 1119","vivo v3",4,"04-Nov-16","vivo v   good phone  best pricei get   local storebut camera quality   good  zommingbattery backup   enought   phone","Nov","2016","pricei","enought","backup","camera","vivo","phone","get","zommingbattery","backup","good"
"Topic 1120","vivo v3",4,"25-Oct-16","two sim  sd card working  time  ","Oct","2016","card","card","card","card","sim","card","time","card","card","two"
"Topic 1121","vivo v3",4,"17-Jun-16","fall  love   phone  smooth  good  realiable","Jun","2016","fall","realiable","fall","fall","love","good","fall","fall","smooth","phone"
"Topic 1122","vivo v3",5,"26-Jun-16","just one wordamazing folks bought  phone offline  great fear  scared  chinese phones etc  tryly amazing phone  company  lag whatsoever battery    day superb camera  pics crystal clear melodious music amazing screen  touch  heating  anything   price   wonder phone buy  blindly","Jun","2016","melodious","company","bought","blindly","fear","battery","music","anything","amazing","phone"
"Topic 1123","vivo v3",1,"17-Sep-16"," purchased  phone  one month  one retail shop spice hot  looking good   phone  pakka china  s camera   clarity  like  mega pixel    one wants  buy  phone  can buy    days  will definitely crying   lost  money ","Sep","2016","lost","phone","buy","can","like","buy","one","china","good","camera"
"Topic 1124","vivo v3",4,"10-Aug-16","   phone nice phone","Aug","2016","nice","nice","nice","nice","phone","nice","phone","nice","nice","nice"
"Topic 1125","vivo v3",4,"19-Jul-16","phone  good  excellent display  touch  issues  far","Jul","2016","display","display","issues","display","excellent","good","display","far","touch","display"
"Topic 1126","vivo v3",5,"15-Aug-16","adorable fuctions  features luv ","Aug","2016","adorable","adorable","fuctions","adorable","adorable","features","adorable","adorable","luv","adorable"
"Topic 1127","vivo v3",5,"11-Aug-16","   fast phone     niceee phone","Aug","2016","fast","fast","fast","fast","fast","niceee","fast","phone","fast","fast"
"Topic 1128","vivo v3",5,"04-Sep-16","nice  mobile amazing features  smartphone      want harley davidsons feature  honda activa","Sep","2016","activa","mobile","honda","feature","activa","amazing","nice","harley","activa","davidsons"
"Topic 1129","vivo v3",5,"03-Oct-16","ultimate phones","Oct","2016","phones","phones","phones","phones","phones","phones","phones","ultimate","phones","phones"
"Topic 1130","vivo v3",5,"11-Aug-16","quality product value  money best   range","Aug","2016","best","range","best","best","product","money","best","best","value","quality"
"Topic 1131","vivo v3",4,"08-Oct-16","excellent","Oct","2016","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent","excellent"
"Topic 1132","vivo v3",5,"21-Aug-16","   awesome phone   purchase  one  retailarohh   good camera quality  superbly awesome  lagging  heating issue nd fingerprint sensor  really faster  faster battery backup   good  really awesome   price ","Aug","2016","faster","battery","really","fingerprint","heating","backup","camera","awesome","awesome","price"
"Topic 1133","vivo v3",1,"24-Dec-16","battery backup   bad","Dec","2016","backup","backup","backup","bad","backup","backup","backup","battery","backup","backup"
"Topic 1134","vivo v3",5,"29-Sep-16","  beautiful device  use","Sep","2016","beautiful","beautiful","beautiful","device","beautiful","beautiful","beautiful","use","beautiful","beautiful"
"Topic 1135","vivo v3",3,"29-Oct-16","phone  good even everything  best  charging time  ","Oct","2016","best","best","good","best","charging","everything","best","even","time","best"
"Topic 1136","vivo v3",4,"17-Oct-16"," gud product   segment","Oct","2016","gud","gud","gud","product","gud","gud","gud","segment","gud","gud"
"Topic 1137","vivo v3",4,"04-Apr-17","gud one worth","Apr","2017","gud","gud","gud","one","gud","gud","gud","worth","gud","gud"
"Topic 1138","vivo v3",5,"22-Mar-17","awesome smart phone  wont get stuck  phone   speed finger print  working well  can install heavy games camera s  super   mp front camera  super clarity   awesome   doubt buy  product awesome product","Mar","2017","awesome","can","front","product","finger","camera","get","phone","smart","super"
"Topic 1139","vivo v3",4,"17-Jan-17","mobile good charging avg","Jan","2017","avg","avg","good","avg","avg","charging","avg","avg","mobile","avg"
"Topic 1140","vivo v3",4,"11-Jan-17","vivo v  good smartphone   ever boughtonly problem  battery mah  drains  fast     support direct video call like samsung g  lyf mobilesbut  fingerprint sensor works well   leg works fastthank  vivo  flipkart","Jan","2017","ever","battery","direct","support","fast","drains","battery","works","lyf","problem"
"Topic 1141","vivo v3",1,"06-Jan-17","feauter  good  mobile  heating","Jan","2017","feauter","feauter","heating","feauter","feauter","good","feauter","feauter","mobile","feauter"
"Topic 1142","vivo v3",3,"28-Dec-16","pros   hybrid slot good performance slim  light factory fixed glass guard  back case louder sounds battery comes   day     can last longer   mah  cons  white color  available  gold back cover heats  little  using internet    option  owner info  readability view option internet receptivity  lowthe  phone   sim  high internet speed","Dec","2016","internet","battery","day","back","can","cons","fixed","gold","receptivity","comes"
"Topic 1143","vivo v3",5,"26-Dec-16","good phone one can definitely invest  still options  available   range   wana experience android based ios  can go   one stars   side  vivo","Dec","2016","android","one","can","android","side","still","experience","options","definitely","range"
"Topic 1144","vivo v3",3,"19-Dec-16"," mobile phone  heating  hag battery backup    good front camera    good pls  buy  mobile phone","Dec","2016","hag","front","backup","heating","pls","backup","mobile","good","phone","backup"
"Topic 1145","vivo v3",4,"29-Oct-16","battery back    good othervise faster  fast mobile","Oct","2016","back","back","good","back","battery","faster","back","fast","othervise","back"
"Topic 1146","vivo v3",1,"06-Oct-16","  video calling feature  front camera  ok  better ","Oct","2016","better","front","better","better","camera","calling","better","better","video","feature"
