,Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
21,,3,11-Nov-18,everything good phone except software bugs like gestures dent work flawlessly issue paint coming top part phone near ear piece,Nov,2018,,,,,,,Yes,,
22,,4,04-Nov-18,build quality good phone looking handsome two things bothering one notification light there notification light top screen i need awake phone every time check message second thing fingerprint sensor it sensible i must say unlike back one i need put finger proper way otherwise i able unlock phone,Nov,2018,,,,Yes,Yes,,,,
23,,1,05-Nov-18,the phone got stuck using one camera features its even getting restarted the screen freezes thus allowing proceed hope get replacement soon,Nov,2018,,,Yes,Yes,,,,,
24,,2,05-Nov-18,takes long charge took minutes charge battery life went less hours without much usage fingerprint sensor receptive,Nov,2018,,Yes,,,Yes,,,,
25,,1,14-Nov-18, picture quality zero third class heat charging heat issue playing game like pub slippery grip heavy weight camera night also worst when zoom picture taken t shows blur images red eyes there lack a i artificial intelligence face lock security total unsafe tried open passport size photo opens screen lock battery life good fast charging heating issue also no headphone jack manage charging jack adapter headphone i return using days thanks amazon refund time saves money return refund policy,Nov,2018,Yes,Yes,Yes,Yes,,,,Yes,
26,,4,04-Nov-18,if op opt op user worth upgrading cons one plus t in display fingerprint way slow work always phone still network connectivity issues upgrades may fix phone works fast but expensive price lacks good features like Ir blaster gloves mode limited gestures seems interesting week later just normal budget phone low light photos night scape still bad overall camera just OK hyped pros phone feels premium rs phones still provide vibe apple Samsonite s series good customer care support especially on line software oxygen OS really smooth lags looking phones least years usage possible wait one plus hope see triple rear camera g one plus,Nov,2018,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
27,,3,04-Nov-18,first foremost i say phone beast of course since processor soc GB GB good specs terms pricing i know hype one plus going people fall prey its purely marketing strategy specs cost justified read till last last suggestion i ordered phone Nov per offer plan mi sure best offer one can get mi sure next offer will one plus will launch the phone quite difficult handle someone using inch range phones years i recommend one plus switch phone gets heated even minutes transfer GB data better transfer one one getting phone running the ii update night mode update happened soon i got wife place happened within minutes the camera real cool i take night shots day shots got reviewed friend pro photographer comment really cool the phone charge yet certified main reason i purchased phone due charge retain issue phone last years every phone use comes days charge beginning but came day hours although i bit gaming first time trust phone market will battery issue years usage i need review but sure will update point next months the pap i use news review in shorts daily hunt seem responsive i gave feedback design inch phones seem like cricket pitch screen so can guess will paps this personal review the power draining rate per every minutes use minutes use this just random check i past days wife minutes minutes network coverage like air tel jig worry number will reduce just months usage the phone gets heated surfing air tel INTERNET minutes continuously good signal open area the charging rate good mi sure charging rate will always remain good discharge rate will drastically vary phone gets old worry number will reduce just months usage even though phone gorilla glass screen protector added phone opinion needed vie used s Hamsun g x play moot without screen protector in case i like vie used phone Google maps on driving car phone discharge rate around minutes apex although issue i faced car charger one plus amazon time writing review so i toggle maps hydroplane mode downloading maps route go phone okay spending huge money to purchasing phone i felt can change phone every year price rage k rather changing phone years thats individual desire change time time i felt disappointed using phone areas the in screen finger scanner night mare did hear sec just shy took attempts get screen UN lock mi saying false information trust me tried angle enabling fingers possible configuration very bad the face UN lock excellent no comments head phone jack yes accepted sub compared printer port fax port screen port keyboard mouse head phone mm micro well received industry they given converter using jack car travel i will update factors review trust me i will put phone second to none may soon as now i say star standard test conditions star usage condition trust me friends waste money phone positives will surely switch negatives just matter months battery industry going give performance even put double soc double GB ram double GB space even double camera,Nov,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28,,5,04-Nov-18,coming one plus huge upgrade so i liked many things phone amazing display mi notch fan cutest notch vie seen absence mm jack might let many fans including i still agree decision there led notifications also performance wise need even comparing best oxygenation ram true wonder didn't get chance test camera much comments camera some might face problems fingerprint scanner register properly get problems i none till now i think case box good its nice vie seen phone dropping ft breaking case many intrusive ads comparing homophone f i just laugh one plus way premium feel homophone,Nov,2018,Yes,,Yes,Yes,Yes,Yes,,Yes,
29,,1,04-Nov-18, poor product one plus neither amazon replacing device battery last long much even hours device malfunctioning like opening paps volume increasing decreasing satisfied product,Nov,2018,Yes,Yes,,Yes,,,,,
30,,2,04-Nov-18,phone functions nice battery performance lasting good battery dying rapidly i changing full charge twice hrs still battery getting most funny part i hardly using phone this depressing paying big amount hard earned money rs battery performance much poor spoken amazon technical support they done on line test pap get know something wrong phone battery told brand new replacement phone Monday th November i received phone ND Nov spoken amazon technical support engineer rd Nov although i received email ams amazon yet i can trust words will receive brand new replacement phone th November ,Nov,2018,,Yes,,,,,,Yes,
31,,5,05-Nov-18,pros glamorous looks great free case free screen guard camera like SLR super fast face detection lightening fast cons on screen sensor super quick properly setup if setup properly good,Nov,2018,,,Yes,Yes,Yes,,,Yes,
32,,3,04-Nov-18,hello guys i using phone past days phone good worth buy but issues mentioning battery good darning fast fast ya fast pm clock basic function every damn phone can face INTERNET problem may seem support handset but issue performance expecting top notch company claiming you can get kind speed k phone easily lastly finger scanning lock fast sometimes takes attempts guys genuine report phone i m much fan one plus family but times took wrong decisions one plus worst phone one plus t actually worst phone expecting top notch speed but one plus t match level if budget buy want anyhow can go otherwise lots better options available market k match almost quality look so waste money much pocket don't push self buy phone i give phone star just biz bad good now choices unto ,Nov,2018,,Yes,,,Yes,,,Yes,Yes
33,,2,15-Nov-18,things promoted i bought ND Nov look wise good sound also loud just loud nothing else battery just improved marginally keep location play game video will low soon of course end will hang little longer expected display hangs yes phone hangs even GB ram faced times even first days worst part front screen lock slow even use pin code time overall phone launch just hype performance unto expectation,Nov,2018,Yes,Yes,Yes,Yes,,Yes,,Yes,
34,,5,04-Nov-18,battery life better picture quality good sound quality also reasonably good definitely best among competitors having said phone really really fast display awesome dash charger wow usual,Nov,2018,Yes,Yes,,Yes,,,,Yes,
35,,3,08-Nov-18,purchased great excitement disappointed day got phone being flagship killer never expected phone face heat issues even normal usage problem arise brothers phone took day paps download solved issue later and now paps force closing working remaining features live unto mark but one plus fan expectations sky high slightly disappointed big deal can adjust thigh,Nov,2018,,Yes,,,,,,,
36,,3,04-Nov-18,no headphone jack just bigger battery water drop notch no camera improvement expectations don't buy phone just wait one plus hope exiting features if one plus buy major even minor improvement better t one plus user also buy i excited phone disappointed,Nov,2018,Yes,Yes,Yes,,,,,,
37,,5,12-Nov-18,for cost one value money product it feature rich perfect person like am avid foodie traveler this perfect phone capture i want whenever i want and amazing clarity also amazing speed i became fan one plus one convinced one best smart phone options ,Nov,2018,,,Yes,,,,,Yes,
38,,5,09-Nov-18,the one plus t undeniably advanced accomplished phone company till now the one plus still good t gives boost battery department fancy way unlock perfect price cons concern notification led light sure whether battery charging single touch display see notification beautiful one plus added charge jack type c converter added value watch movie listen song charging,Nov,2018,,Yes,,Yes,,,,,Yes
39,,1,05-Nov-18,battery terribly bad on round edges i lose display cuts actual view sometimes auto rotate work i restart mobile,Nov,2018,,Yes,,Yes,,,,,
40,,1,14-Nov-18, purchased phone trusted amazon years now feeling stunned product quality this phone gets switch sometimes getting on hard rebooting tried return first rd party pap told phone right so kind service provided amazon gonna kind purchase amazon this bad worst service amazon,Nov,2018,,,,,,,,,
41,,4,04-Nov-18,phone awesome camera check display check battery check there minor glitch play store pathetic download new pap always shows downloading download pending hope one plus will fix e,Nov,2018,,Yes,Yes,Yes,,,,,
42,,5,04-Nov-18,good phone best delivery super fast order morning delivery evening pm,Nov,2018,,,,,,,,Yes,
43,,3,11-Nov-18,picture quality mark per description given need work hard pix gets blurred zoom camera it states mp camera i think actually ,Nov,2018,,,Yes,,,,,,
44,,5,09-Nov-18,best android phone till date i using days now one plus let great battery life i use mobile testing taking pica pub usually i charge day pretty great dash charging help phone get charged muns ham you know specs bat camera but one thing note unlike one plus ts pro mode bigger capture size on screen finger print scanner amazes time i use animation great one thing like mention bat animation bright even brightness screen minimum bad want unlock Ur phone night time this best phone can buy early around k so go ahead buy mi sure regret ,Nov,2018,,Yes,Yes,Yes,Yes,,Yes,,
45,,2,27-Dec-18, if will see phone applications ii will symmetrical properly handled unlike one plus t will notice chat bottom send left slimy button will show properly without using pap consumes GB ram camera quality OK because using almost library pixel phone but match image processing quality front camera quality just worst ever will try artificial light condition if zoom took picture will show best quality resolution if phone will ideal mode muns phone will freeze seconds,Dec,2018,,,Yes,,,Yes,,Yes,
46,,5,07-Nov-18,as i had already customer of one plus aim very much disappointed with packing material of one plus t i compare both boxes of one plus and t when i pick my new phone ti found material used is very dully first impression was but overall phone is working well with less battery backup,Nov,2018,,Yes,,,,,,,
47,,3,11-Dec-18,the phone excellent software internals wise however cons follows glass serves purpose makes phone fragile notification light headphone jack pointless omission simply ape apple ambient display brightens much sensing fingerprint irritating night phone tad big they ideally kept screen size op days removed bezels instead increasing size phone terrible vibration motor my old nonskid last decade much better vibration not expected premium phone,Dec,2018,Yes,,,Yes,Yes,,Yes,,
48,,3,05-Nov-18,very disappointing sound quality blue tooth earphone i lg mob box Bose sound link blue tooth speaker sound quality poor blue tooth connectivity also support blue tooth speaker play sanctimoniously like Hamsun lg phone honer play phone tried lg mi nosy earphone phone sounds came poor phone speaker quality good rest display also satisfaction level compared lg q thin Hamsun galaxy series battery draining fast benefit night scape feature phone still front camera needs improve touch phone speed good like relier one plus phone getting anything new phone apathy notch display even touch finger scene time working speed like back finger scene earlier not recommended music lover,Nov,2018,Yes,Yes,Yes,Yes,Yes,,,Yes,
49,,5,04-Nov-18,mi love everything phone provided mi able digest missing headphone jack the performance spectacular the fastest phone android side things least camera damn good night mode though battery life also extraordinary mi getting hours sit gaming like pub hours screen man looks gorgeous built quality also perfect expect one plus ii one best vie used totally one best phone can buy around k,Nov,2018,Yes,Yes,Yes,Yes,,,Yes,Yes,
50,,2,13-Nov-18,camera pathetic takes blurry pica sometimes pica gets deteriorated little bit zooming also looks like mp camera Hamsun takes better pica even k phone low light equally bad poor selfish camera those saying awesome camera idea cameras improve camera performance next update its blazing fast smooth looks great but cam speakers r disappointment,Nov,2018,,,Yes,Yes,,,Yes,Yes,
51,,4,22-Nov-18,this sister she previously phone believe loved one plus i using one plus comparing t version there slight differences apartment notch size battery capacity screen fingerprint reader i particularly feel need quad hf screen since screen quality amazing they added better camera modules instead depth sensor put telescopic lens speaker quality improved added stereo speakers i know immolating jack sooner later everyone will start using blue tooth headphones just like touch screen phone made revolution the biggest upgrade personally feel ham increase battery capacity i never issues t wood easily last days moderate user,Nov,2018,Yes,Yes,Yes,Yes,Yes,,,,
52,,5,06-Nov-18,they exactly working tag line speed need its fast very fast talking camera better op but nothing changed night scape good change you can feel light night scape mode audio better smart phones one plus mark battery life best you can rely battery one charge half hour full day battery life even use fully fingerprint scanner better new update help open fast if budget k buy without second thought,Nov,2018,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
53,,3,26-Dec-18,the phone overall supposed flagship killer but truth despite killing flagship cant kill performance stability previous model one plus as someone phones family observation comparison one plus i feel one plus gone standards new phone pros better sound photos better depth clarity battery back good cons fingerprint unlock absolutely lacking performance work times phone hangs times feel like s one plus product GB ram camera freezes sometime renders buttons including power button action less hope one plus comes SW update handle issues else gonna bring bad press ,Dec,2018,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,
54,,3,04-Nov-18,mobile good product received faulty ND day i connected charging keeping g switch change seem card cant switched i placed immediately replacement order amazon take properly thanks amazon but now i canceled order,Nov,2018,,Yes,,,,Yes,,,
55,,1,11-Nov-18,the product defective and amazon kept wait days reason replace phone even manufacturing defects,Nov,2018,,,,,,,,,
56,,3,08-Nov-18,mi fan one plus op t really great build quality slightly thicker one plus feels good hands on comparing photos op op t mood also finger print scanner animation slow it give idea instant phone will get unlocked eventually making keep finger time and happens every time i still prefer op dads op t terms lowlight photograph fingerprint also fingerprint animation poor ii display phone nice though,Nov,2018,,,,Yes,Yes,,,,
57,,5,06-Nov-18,i one plus one user upgraded phone considering fact i loving phone its days since i got one plus t i charged couple times hour time battery just brilliant if someone loves click pictures take selfish disappointed various features camera phone i got gigs ram storage space phone damn quick lags hangs far if like notch worry will able disable one major disappointment mm jacks death however type headphone adapter can manage plug mm headphones lastly someone upgrading one plus rd gen th gen consider waiting next phone one plus,Nov,2018,Yes,Yes,Yes,,,Yes,,,
58,,5,28-Nov-18,the phone really good bought phone gaming satisfied performance camera quality good great don't care photographer battery mind blowing love dash charger display great easily visible sun light auto brightness works really good ram management really great oxygen OS really great skin display fingerprint doesn't work well face unlock works really good darkness uses display flashlight unlock,Nov,2018,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
59,,2,26-Dec-18,lot issues camera gets crashed frequently paps crash sometimes camera pap dead slow loading picture qty expected speakers good voice cracks half volume gallery crashes sometimes,Dec,2018,Yes,,Yes,,,,,,
60,,5,09-Nov-18,well one plus t awesome its truly flagship killer camera cud bit better hey OK nothing can perfect right,Nov,2018,,,Yes,,,,,,
61,,2,05-Nov-18,my phone ring tone functionality working i already reported asked replacement further set also pin seem its terrible experience expect immediate action amazon one plus team replacement phone,Nov,2018,,,,,,,,,
62,,5,04-Nov-18,performance excellent picture quality sound quality battery life single word one plus awesome,Nov,2018,Yes,Yes,,,,,,Yes,
63,,5,28-Feb-19,my review months usage fantastic product one plus usual i fan brand products i owned one plus x one plus now one plus t believe match machine price bracket it feels like brands cheating us selling overpriced similar phones Zaria Dinah chi cheer Meggi hi ho everything great phone superb screen awesome sound quality awesome camera great battery life looks premium excellent network reception superb sound quality Mic ear piece speaker heating issues excellent sunlight visibility screen great one plus operating system near stock android ROM experience regular software updates provided dual g volt e can use g volt seems side side now i use air tel jig seems work great parallel good quality back cover provided phone box sub type c mm jack converter included box dash charger great ever no earphones included box superb quality sub type c cable bought first opening sale just go ND thoughts this best ever mobile phone one plus this paid review pl vote review helpful i help choosing product,Feb,2019,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes
64,,4,01-Dec-18, switched phone s impressive smart phone honestly rewarding decision i made mi writing review using one plus t nearly month its super fast responsive ii praiseworthy if watch you tube video comparing speeds speed test one plus t vs phone XS former comes fastest note amazon transportation services Ats sucks worst delivery service reason giving stars,Dec,2018,,,,,,,,Yes,
65,,2,07-Nov-18,i extremely excited product i prefer ordered amazon gift card bought launch day i extremely disappointed amazon during sale offer showed month cost emu i went ahead months bank started charge interest saying already given cost emu discount now will applicable don't understand logical behind giving discount find ways earn back false advertisement now offer changed says applicable months this really messed experience i one plus user purchased amazon multiple occasion disappointed see quality commitment gone much,Nov,2018,,Yes,,,,Yes,,,
66,,3,04-Nov-18,not expectation too much hype fingerprint scanner slow work smoothly i waiting since months turned average phone,Nov,2018,,,,,Yes,,,,
67,,5,07-Nov-18,amazing battery life great experience use ,Nov,2018,,Yes,,Yes,,,,,
68,,1,23-Dec-18,i ratting amazon transportation services worst ever find i found scope improvement many compliments one plus go flip kart better customer support services,Dec,2018,,,,,,,,,
69,,5,04-Nov-18,this first experience one plus good camera better performance good screen quality phone little bit heavy go ,Nov,2018,,,Yes,Yes,,,,Yes,
70,,4,14-Nov-18,this really nice product there certain drawback like led notification always display despite smiled screen but overall nice fluid use camera earlier night scape mode may best still way better anything else price bracket mirror black finish also hides fingerprints extent also good performance fluid sens something hooked first time using one plus devices and i must say really fluid battery life exceptional now ham with moderate usage i always getting screen time anywhere hrs normal moderate use will always last day half in display fingerprint scanner may fastest always accurate still unique serve purpose overall good clean android performance phone ,Nov,2018,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
71,,3,06-Feb-19,build quality hold etc good while comes refitted screen protector will need add stronger layer quite thoughtful adapted headphones box since headphone jack the sound quality impressive whether blue tooth speakers headsets just speaker simply great quality speakers the software simple android experience issues fingerprint scanner disappointing surprisingly slow also allows attempts use password case pictures appear good quite soft so appear sharp Hamsun s etc video really bad no image stabilization even resolution very disappointed all super looking phone clarity sound speaking listening picks signals better phones INTERNET great even weak signals super music OK pictures bad video,Feb,2019,Yes,,Yes,Yes,Yes,,Yes,Yes,
72,,5,09-Mar-19,one plus best comes performance android much better pixel phones shame i using op year half i shattered screen so i decided go t now to honest i want buy new phone since old one worked good new slow downs coming t powerhouse never faced hiccup paps camera average mi photography enthusiast gaming performance epic and charges extremely fast thanks dash charging the downside phone slightly slower finger print sensor you'll notice coming older one plus devices lightening fast sensor but nothing get used the notch one subtle ones market i recommend phone anyone looking new android device,Mar,2019,,Yes,Yes,Yes,Yes,,Yes,Yes,
73,,3,05-Nov-18, buoyed t mobile today putted lock worked min min f opening lock telling incorrect pin appearing dummy f display pl don't buy kind cheap f friends suffered lot went service center solve problem r telling don't soft ware u directly contact customer service wile solve problem r telling like pl don't buy kind stupid company phones,Nov,2018,,,,Yes,,,,,
74,,5,06-Nov-18,migrated one plus one plus t i happy upgrade after purchasing first one plus years i became fan one plus i never issues one plus t smooth navigation hell lot features don't know whether everyone uses features pica taken camera awesome battery life good super fast charging phone size also good holding phone one hand only drawback i seen removal mm audio jack i ordered one one plus site k overall awesome phone thanks amazon quick delivery,Nov,2018,Yes,Yes,Yes,Yes,,,,Yes,
75,,4,14-Nov-18,it amazing device just say big upgrade last device by still good best market star reduced just headphone jack everyone wants headphone jack maximum people mean quality product good battery life also good charging speed best class camera also good competes best flagships just go price range phone can better stars always space improvement device perfect,Nov,2018,Yes,Yes,Yes,Yes,,,,Yes,Yes
76,,5,09-Dec-18,if one plus going offer i sold i think phone looks absolutely stunning yet flashy understated good looks gives upmarket feeling you get flagship device rate i change phones frequently phone will at least years first op device i will keep so next one plus will god willing but i tested bullet headphones good can much improved if possible bring back headphone jack led notification great job op amazon,Dec,2018,Yes,,,Yes,,,,,
77,,5,04-Nov-18,loved i bought one plus six months ago i just now purchased new one plus t at price phone par even phone India i used y y note pro even mi s pro e now comparison you will get worth money,Nov,2018,,,,,,,,,Yes
78,,5,20-Nov-18,this far best smart phone market budget beating certain devices prices k higher specially software updates inclusion night scape mode camera phone feels like premium butter wrapped velvet foil excellent touch great battery great camera superb oxygens always snappy performance great gaming experience including pub asphalt i wired headset user removal headphone jack really effect worth every penny spend and ,Nov,2018,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes
79,,5,04-Nov-18,wow phone flagship one plus pros ultimately battery life last one full day superb camera drop notch screen finger print touch sensor pretty fast more screen less bezel cons night mode great expected same design ND processor one plus face recognition good dim light conditions,Nov,2018,,Yes,Yes,Yes,Yes,,,Yes,
80,,1,26-Dec-18,product zero don't buy t for one plus user move one plus t t ,Dec,2018,,,,,,,,,
81,,5,31-Dec-18,the one plus Clarence edition amazing doubt issue i warranty card pin ejector missing package box i shoot unbolting video assuming problem so concern mine whether warranty card will provided service center document i provide services i needing warranty period,Dec,2018,,,,,,Yes,,,Yes
82,,4,08-Nov-18,everything good phone display fingerprint sensor substantially accurate consistent one plus gone physical fingerprint reader waited new communal rd gen display fingerprint sensor one plus actually made phone slower display technology implementing soon camera great always night mode shots night mode good infarct normal camera mode night will give better shots compared night mode,Nov,2018,,,Yes,Yes,Yes,,,,
83,,5,02-Feb-19,great device amazing speed GB ram superior processor work lightning fast speed i play lot on line games device i can open multiple games without worrying device slowing on previous phones games always caused issues like heating device device becoming abnormally slow rapid battery discharge this device solved issues i used fast charging devices well speed charging device best among i come across till date,Feb,2019,,Yes,,Yes,,Yes,,Yes,
84,,4,05-Nov-18,one plus t best phone can get less half price phones all features really good one plus consistent upgrading brand added new features phones i skipping pros phone huge list already described many pol cons fingerprint sensor slower previous models need screen switched using fingerprint headphone jack removed extension chord provided this big let qt,Nov,2018,Yes,,,Yes,Yes,,,,Yes
85,,5,07-Nov-18,unlock the speed indeed phone massively fast first impression whoever holds device gets smooth fast face unlock less sec barely will see lock screen in display finger print fast done properly fa position i mostly use phone laying surface tableted etc camera awesome fan portrait mode better many phones battery lasts longer display good notch invisible viewing videos notch sexy screen large good viewing angles overall a must buy phone,Nov,2018,,Yes,Yes,Yes,Yes,,,Yes,
86,,1,07-Nov-18,camera flash working disappointed one t ,Nov,2018,,,Yes,,,,,,
87,,5,04-Jan-19,vie always one plus fan since days one plus one i progressed one plus t now t never disappointed hardware software its blazing fast nimble OK poking around innards simply deg appearance my sons Hamsun note galaxy insanely jealous t i say anything ,Jan,2019,,,,,,,Yes,Yes,
88,,5,04-Nov-18,this first experience one plus one plus t pretty impressive good battery backup finger print scanner real quick display amazing camera mind blowing now waiting bullet earphones ,Nov,2018,Yes,Yes,Yes,Yes,Yes,,,,
89,,1,17-Dec-18,i using t past years experience good but phone working fine hangs lot i can see black white screen dots often the camera quality bookish see grains backpacker images annoying i happy product the fact new piece hangs lot bothers month also figure print scanner also great t way better,Dec,2018,,,Yes,Yes,Yes,,,,
90,,5,08-Nov-18,i purchased GB GB phone i m using dual camera lens first time noticed objects getting focus auto mode sound quality little improvement however lode display certainly good natural colors the phone came per attached screen guard absorbs lot prints requiring frequent cleaning in screen fingerprint sensor works well face recognition snappy one plus phones fast lag like sousaphone even years use,Nov,2018,Yes,,Yes,Yes,Yes,Yes,,Yes,
91,,5,22-Dec-18,one plus proved one plus t need grab amount lake customers deliver premium phone possibly best version android i used phone XS gripe phone lack stereo speakers that said complaint otherwise i extensively impressed phone especially display panel software i used latest android one phones oxygen OS version pure android fluid beautiful eyes this first one plus phone i expect provide software updates long run that said i even surprised see declared smart phone year McBride day i got one plus happy,Dec,2018,,,,Yes,,,Yes,,
92,,5,19-Dec-18,the display bright got really good colors sound quality decently loud just careful cover speaker since i got hands phone day yesterday i given rest after days use reasonable screen brightness screen time just hours i ended juice left and warp charging speed just promised i surprised see battery drained night night scape stock camera good pixel but i downloaded pixel cam mod working just fine,Dec,2018,Yes,Yes,Yes,Yes,,,,Yes,
