Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
vivo v7,1,31-Jan-18,poor management,Jan,2018,,,,,,,,,
vivo v7,1,25-Apr-18,when i selected payment emu mode months converted please tell wise i need return product i pay whole amount one time,Apr,2018,,,,,,,,,
vivo v7,1,15-Jan-18,product awesome offers GB data Vonda fake,Jan,2018,,,,,,Yes,,,
vivo v7,1,04-Feb-18,good product accessories color phone color,Feb,2018,,,,,,,,,
vivo v7,4,10-Jan-18,very good product n good service,Jan,2018,,,,,,,,,
vivo v7,5,07-Feb-18,good mobile k,Feb,2018,,,,,,,,,
vivo v7,3,15-Feb-18,its good mi happy phone,Feb,2018,,,,,,,,,
vivo v7,1,26-Apr-18,head phone jack connecting not able pick call swiping very bad experience just one month unfortunately purchased v also i sure fate v why spend much money phones not reliable,Apr,2018,,,,,,,,,
vivo v7,1,13-Apr-18,bad phone buy ,Apr,2018,,,,,,,,,
vivo v7,5,23-Aug-18, bought mobile months back problem charging adapter OK sub data cable just showing charging symbol mobile charging single point problem occurred past month charger sub cables r supporting charge managing one friends vivo v chargers find solution amazon r vivo authorized service centers mobile still warranty tried contacting service centers lacks response mobile superb i expected than,Aug,2018,,Yes,,,,,,,Yes
vivo v7,5,26-Jan-18,nice phone,Jan,2018,,,,,,,,,
vivo v7,1,20-Jan-18,worst product total waist money,Jan,2018,,,,,,,,,
vivo v7,5,05-Feb-18,very nice product got best least price,Feb,2018,,,,,,,,,Yes
vivo v7,5,13-Mar-18,i really satisfied phone feature i looking phone in good price complete feature availability good decision buy phone ,Mar,2018,,,,Yes,,,,,Yes
vivo v7,5,18-Feb-18,product received agreed timeliness product good shown images received good conditions vivo super awesome device economic features,Feb,2018,,,,Yes,,,,Yes,
vivo v7,4,16-May-18,its big sleek good looking phone it wide big screen powerful processor compatible paps has latest android version the cameras excellent especially front one its sturdy phone break easily awesome clicking photos recording videos and top comes pretty decent price,May,2018,,,Yes,Yes,,,Yes,Yes,Yes
vivo v7,2,15-Feb-18,somehow phone working properly its slow supporting chrome version also and started using immediately two times software got updated useless,Feb,2018,,,,,,,Yes,,
vivo v7,1,29-Mar-18,camera quality good battery back poor picture quality also good can move paps SD card cost better can go Mildred,Mar,2018,,Yes,Yes,,,Yes,,,
vivo v7,1,17-Jan-18,not expected better option go mi a honor lite,Jan,2018,,,,,,,,,
vivo v7,4,23-May-18,nice n good looking front camera also good,May,2018,,,Yes,Yes,,,,,
vivo v7,4,23-Jan-18,product good camera quality also good got product estimate date thank u amazon,Jan,2018,,,Yes,,,,,,
vivo v7,4,11-Feb-18,i ordered vivo v after two days phone delivered phone good camera also good one problem video call directly either doe jig g voice,Feb,2018,Yes,,Yes,,,,,,
vivo v7,1,13-Feb-18,camera worst never quality mp zoom image clear view let attach photo clicked never like ,Feb,2018,Yes,,Yes,,,,,,
vivo v7,4,12-Feb-18,phone light weight good battery back OK,Feb,2018,,Yes,,,,,,,
vivo v7,5,10-Mar-18,anyone searching great performance camera phone go vivo v really satisfied device really good i loved thank amazon phone just fill please improve delivery agent hospitality kind i believe guys can get much better,Mar,2018,,,Yes,Yes,,,,Yes,
vivo v7,5,27-Jan-18,very nice phone front cam good,Jan,2018,,,Yes,,,,,,
vivo v7,2,23-Feb-18,not happy time cozy ND purchase v i got nice earphone sit purchase time earphone cheap worst sound bad quality fitted ears can will change service center pl suggest i uploaded earphones pix red one sit time purchase ND one time,Feb,2018,Yes,,,,,,,,
vivo v7,1,25-May-18,very bad experience i purchased int mobile phone thinking vivo company excellent expectations worst experience on line purchasing amazon from first day hearing issues heating problems vivo v i think company making fool people even int phones much better vivo v phone worst experience vivo company should rethink its strategy,May,2018,,Yes,,,,,,,
vivo v7,2,05-Feb-18,lot hanging problem month ago buy set installing paps like printmaker pentagram face book now facing kind issues handset camera OK battery also fine think handset GB ram,Feb,2018,,Yes,Yes,,,Yes,,,
vivo v7,2,21-May-18,this making users fool vivo rear mp front camera vivo making us fool cause nothing proof camera pixel yes i i Hamsun s mp camera picture size comes to MB photo mp high quality picture size tomb size now can see type camera vivo giving one thing they selling product GB ram GB available equal GB ram phone so moot update feature will updated by pap software there parameters check camera pixmap will produce MB pix size mp will produce MB mp cameras pix size will MB and mp cameras pix size will MB minimum image will blur zooming ,May,2018,,,Yes,,,Yes,Yes,,
vivo v7,1,09-Jan-18,days k bad phone automatically band ho gays air power Dinah ho raga ab service center Jana padded,Jan,2018,,,,,,,,Yes,
vivo v7,5,23-Jan-18,i simply love ,Jan,2018,,,,,,,,,
vivo v7,3,27-Dec-18,display good u want watch videos you tube on line display good not suggest go front camera waste one,Dec,2018,,,Yes,Yes,,,,,
vivo v7,1,03-Mar-18,very poor battery backup time mobile charge one day,Mar,2018,,Yes,,,,,,,
vivo v7,5,18-Jan-18,nice phone features,Jan,2018,,,,,,,,,
vivo v7,5,26-Jan-18,good phone ,Jan,2018,,,,,,,,,
vivo v7,5,12-Feb-18,vivo v nice option,Feb,2018,,,,,,,,,
vivo v7,5,24-Jan-18,good service product,Jan,2018,,,,,,,,,
vivo v7,5,30-Jan-18,worth money ,Jan,2018,,,,,,,,,
vivo v7,2,17-May-18,camera quality poor,May,2018,,,Yes,,,,,,
vivo v7,4,24-Jan-18,good,Jan,2018,,,,,,,,,
vivo v7,5,29-Jan-18,good,Jan,2018,,,,,,,,,
vivo v7,4,10-Oct-18,best camera quality,Oct,2018,,,Yes,,,,,,
vivo v7,4,16-Apr-18,good product i like ,Apr,2018,,,,,,,,,
vivo v7,4,13-Jan-18,its nice stars back camera would still better,Jan,2018,,,Yes,,,,,,
vivo v7,5,21-Mar-18,good phone suggesting buy phone,Mar,2018,,,,,,,,,
vivo v7,4,06-Mar-18,i using phone almost months now camera good,Mar,2018,,,Yes,,,,,,
vivo v7,5,26-Jan-18,i received except date mobile excellent,Jan,2018,,,,,,,,,
vivo v7,3,27-Jan-18,packaging bad improve ,Jan,2018,,,,,,,,,
vivo v7,4,20-Mar-18,liked product got exchange,Mar,2018,,,,,,,,,
vivo v7,5,02-Feb-18,good phone its best phone,Feb,2018,,,,,,,,,
vivo v7,5,24-Feb-18,very nice phone price loved ,Feb,2018,,,,,,,,,Yes
vivo v7,5,25-Mar-18,excellent ,Mar,2018,,,,,,,,,
vivo v7,5,09-Jan-18,get phone,Jan,2018,,,,,,,,,
vivo v7,5,10-Mar-18,excellent phone price,Mar,2018,,,,,,,,,Yes
vivo v7,5,15-Jan-18,absolutely nice device,Jan,2018,,,,Yes,,,,,
vivo v7,5,03-Feb-18,super phone nice camera,Feb,2018,,,Yes,,,,,Yes,
vivo v7,5,02-Mar-18,killer performance,Mar,2018,,,,,,,,Yes,
vivo v7,2,28-Feb-18,battery backup good,Feb,2018,,Yes,,,,,,,
vivo v7,5,21-Jan-18,perfect phone,Jan,2018,,,,,,,,,
vivo v7,5,25-Jan-18,i received book show coupons,Jan,2018,,,,,,,,,
vivo v7,5,07-Feb-18,mazing phone i ever bought i love ,Feb,2018,,,,,,,,,
vivo v7,2,04-Jan-18,does support hf video calls jig not mentioned specs could specified specs people aware make decision buy,Jan,2018,,,,,,,,,
vivo v7,5,13-Mar-18,very good phone price range,Mar,2018,,,,,,,,,Yes
vivo v7,5,13-Feb-18,nice phone buy k exchange,Feb,2018,,,,,,,,,
vivo v7,3,31-Jan-18,battery back good,Jan,2018,,Yes,,,,,,,
vivo v7,5,16-Apr-18,one best mobile recent time ,Apr,2018,,,,,,,,,
vivo v7,5,18-May-18,vivo v fabulous phone camera clarity awesome specially front camera thanks amazon courier service,May,2018,,,Yes,,,,,,
vivo v7,5,12-Jan-18,very nice mobile super,Jan,2018,,,,,,,,Yes,
vivo v7,2,25-Jan-18,i will fell bad product,Jan,2018,,,,,,,,,
vivo v7,4,06-Feb-18,rear camera better pixels visible,Feb,2018,,,Yes,,,,,,
vivo v7,4,03-Feb-18,selfish camera super no weight phone looking super,Feb,2018,,,Yes,Yes,,,,Yes,
vivo v7,4,12-Feb-18,hi i want replacement phone color good,Feb,2018,,,,,,,,,
vivo v7,5,20-Apr-18,awesome mobile range,Apr,2018,,,,,,,,,
vivo v7,1,19-May-18, brought product th may charger missing tried replacement said will take days returning product,May,2018,,Yes,,,,,,,
vivo v7,5,30-Jan-18,excellent,Jan,2018,,,,,,,,,
vivo v7,5,13-Jan-18,super,Jan,2018,,,,,,,,Yes,
vivo v7,2,03-Mar-18,ordered gold received silver,Mar,2018,,,,,,,,,
vivo v7,4,20-Mar-18,nice ,Mar,2018,,,,,,,,,
vivo v7,3,19-Jan-18,very nice,Jan,2018,,,,,,,,,
vivo v7,5,19-Jan-18,good one vivo v mobile love but one problem battery backup come s day e,Jan,2018,,Yes,,,,,,,
vivo v7,5,07-Jun-18,i got phone n m damn glad thy i bought i mus tell oms phone b used gudgeon classy worth loved thank sew much amazon,Jun,2018,,,,,,,,,
vivo v7,3,04-Jan-18,battery backup good r capturing photo click waited second photo will bluer,Jan,2018,,Yes,,,,,,,
