"","Mobile","Rating","Date","Review","Rating_Month","Rating_Year","SentiScore"
"95","vivo v5+",5,"25-Nov-17","I Buy a phone of vivo V5 Plus
The cashback is guarnted on visa card payment
I paymented from visa card.
But my cashback is not credited in my account.","Nov","2017",3
"96","vivo v5+",5,"21-Sep-17","Awsome Product Vivo Is Best","Sep","2017",4
"97","vivo v5+",5,"13-Oct-17","gud","Oct","2017",4
"98","vivo v5+",1,"15-Dec-17","I have received 5% cashback instead of 10","Dec","2017",3
"99","vivo v5+",1,"19-Jan-17","Unrated experience.
Gave a to write this comment, not worth at all.
","Jan","2017",4
"100","vivo v5+",1,"26-Oct-17","vivo","Oct","2017",3
"101","vivo v5+",5,"30-Aug-17","good","Aug","2017",4
"102","vivo v5+",1,"25-Oct-17","worst","Oct","2017",2
"103","vivo v5+",3,"14-Oct-18","Actually i have no issue about product. I want to continue using it but, I m disappointed its exchange offer with my vivo v5. Vivo is only giving 4k or 5k off in exchange, whereas other brands are giving more off.","Oct","2018",2
"104","vivo v5+",5,"30-Nov-17","Excellent. A clone of IPhone. A bit costly. But quality and performance is real good. No heating issues and battery lasts for long apart from fast charging","Nov","2017",4
"105","vivo v5+",5,"10-Oct-18","I am using this phone for more then a year now, flawless performance in all aspects. Very good battery life, great camera and sound. Great display, perfect touch. Not a single issue of hang, switched off or heating.

Very very satisfied with this phone.","Oct","2018",4
"106","vivo v5+",5,"28-Sep-17","super","Sep","2017",4
"107","vivo v5+",2,"15-Nov-17","Lol .. costly.. they lure ppl with increased advertisement.. we can get better phones at half price","Nov","2017",2
"108","vivo v5+",5,"27-Mar-18","What a phone... I bought this set on June 2017 and almost of 10 months it's purchase there is no malfunction in this set.. Camera quality is superb, quick charge option, eye protection and many more good feature.","Mar","2018",4
"109","vivo v5+",5,"18-Jul-17","It is good product
The camera photo quality is very good
It's also look like iPhone, charging is very fast, sound also amazing, totally it is a great product ,thank u for giving such a feature in reasonable price, thank u","Jul","2017",5
"110","vivo v5+",1,"28-Sep-17","No to Chinese brand It's not worth for money","Sep","2017",4
"111","vivo v5+",5,"19-Oct-17","Very good quality product and worth for money.","Oct","2017",4
"112","vivo v5+",5,"25-Sep-17","Hello guys, don't think so much to buy it... It's a superb phone especially if I talk about the camera and battery...

I don't know why people have given less rating to this phone... If I had an option to put 10 I would have given 10/10.

Battery life is very good
No heating issue while charging
Best selfie camera ever with dual cameras
Good packaging by vivo
Stylish looks

What else do you need...","Sep","2017",4
"113","vivo v5+",3,"20-Dec-17","it have 377 ppi as resolution is 1920*1080/5.5 screen size =377,and they are saying its 401??","Dec","2017",3
"114","vivo v5+",1,"10-Oct-17","my phone was not working properly","Oct","2017",4
"115","vivo v5+",1,"17-Oct-17","Very worst product.and customer support also very worst.flipkart vs amazon which is the best my aswer is Flipkart only. Plz don't get it mobiles and any accessories","Oct","2017",4
"116","vivo v5+",3,"06-Nov-18","Better take v9 pro or v11 as they are good. This is 18k so better take v9 pro which is 17 k","Nov","2018",4
"117","vivo v5+",5,"03-Jan-18","vivo v5 plus is the best","Jan","2018",4
"118","vivo v5+",1,"24-Feb-18","oppo vivo most useless features in phone","Feb","2018",2
"119","vivo v5+",4,"28-Nov-17","Memory card not supported??","Nov","2017",4
"120","vivo v5+",5,"03-Mar-18","vivo v5 plus me sim slot hybrid hai ya non hybrid","Mar","2018",3
"121","vivo v5+",3,"23-Oct-17","Awesome phone camera and battery so good","Oct","2017",4
"122","vivo v5+",1,"08-Dec-17","heating problem","Dec","2017",2
"123","vivo v5+",5,"23-Dec-17","Double tap to turn on screen apdete","Dec","2017",3
"124","vivo v5+",5,"01-Mar-18","nice phone","Mar","2018",4
"125","vivo v5+",1,"28-Feb-18","Camera quality very bad","Feb","2018",2
"126","vivo v5+",1,"26-Sep-17","unhold my account","Sep","2017",3
"127","vivo v5+",2,"10-Oct-17","Paytm Gives 20% discount in vivo v5plus, 20186- 20% discount = 16100/-

Net amout for buyers is 16100/- with cash back","Oct","2017",3
"128","vivo v5+",4,"13-Jan-18","good product","Jan","2018",4
"129","vivo v5+",5,"19-Sep-17","good","Sep","2017",4
"130","vivo v5+",5,"25-Oct-17","best phone","Oct","2017",4
"131","vivo v5+",4,"02-Jan-18","Superb phone awesome battery backup before i use s7 edge 3600mah nd this is only 3050mah but i use on 4g whole day just charge once in a","Jan","2018",4
"132","vivo v5+",3,"29-Sep-17","THIS PHONE WILL DO A GOOD JOB FOR THE FIRST FEW DAYS HIGH SPEED EVRYTHING.IVE BEEN USING THIS FOR 4MONTHS.YOU GET BETTER MOBILES AT THIS RANGE,IT DOESN'T WORTH 27K.NOWADAYS U GET ONE PLUS 3T FOR 25K.THIS PHONE SUCH.THE ONLY PLUS POINT IS THE CAMERA. PLEASE DONT GO FOR THIS MOBILE.","Sep","2017",4
"133","vivo v5+",5,"02-Sep-17","First of all it's a phone which gives you feel like apple's ios interface.
Looks - super amazing
Hardware - very smooth, comes with 4 gb ram, 64 gb rom, 625 snapdragon etc etc
Camera - being a photographer I would highly recommend you this. I have attached my pics which i have clicked with this phone.
Coming to accessories, EARPHONES are so good having amazing bass! and many more things are provided.
Don't think so much, go for it.","Sep","2017",5
"134","vivo v5+",5,"23-Jul-17","fabulous phone
with great battery backup
fantabulous camera quality","Jul","2017",4
"135","vivo v5+",5,"19-Sep-17","nice photography phone","Sep","2017",4
"136","vivo v5+",5,"27-Jul-17","nice job","Jul","2017",4
"137","vivo v5+",5,"13-Oct-17","Best phone it works good looks also cool","Oct","2017",4
"138","vivo v5+",4,"21-Sep-17","Plz purchase from Amazon ,price provide by Amazon is more then offline purchase so plz visit market u will more best offer","Sep","2017",4
"139","vivo v5+",5,"20-Sep-17","good specs - value for money products","Sep","2017",4
"140","vivo v5+",5,"05-Oct-17","awesome phone","Oct","2017",4
"141","vivo v5+",5,"18-Jul-17","Complete alag phone amazing.....","Jul","2017",4
"142","vivo v5+",5,"14-Jul-17","Good in performance... ?? super ?? super.. Wow... Smoothy... Excellent work..","Jul","2017",5
"143","vivo v5+",1,"20-Dec-17","worst","Dec","2017",2
"144","vivo v5+",5,"02-Mar-18","Sample photos taken on vivo v5plus ????","Mar","2018",3
"145","vivo v5+",3,"27-Nov-17","Vivo v7+ or v5 plus which one I buy plus suggest","Nov","2017",3
"146","vivo v5+",4,"25-Sep-17","Vivo V5PLUS is Waterproof Are Not","Sep","2017",3
"147","vivo v5+",1,"10-Nov-17","Don't go for it. Worst battery backup n phone hangs frequently. It had not been more then a month. Waste of money","Nov","2017",2
"148","vivo v5+",3,"25-Aug-17","the phone is better then all other vivo phones but considering its price the phone is not good you can get better specifications on xiomi redmi note 4 which is much cheaper but for a price of 23000 it should have at least snapdragon 660 and also it should have better better battery life for the price.also the phone should have android 7.","Aug","2017",5
"149","vivo v5+",4,"23-Sep-17","really good","Sep","2017",4
"150","vivo v5+",5,"26-Sep-17","good mobile ","Sep","2017",4
"151","vivo v5+",5,"03-Oct-17","awesome","Oct","2017",4
"152","vivo v5+",5,"10-Aug-17","Obselutly superb phone.........if u r a selfie lover thn go for it.......its better than any phones in this price segment??...........best selfie in the world","Aug","2017",4
"153","vivo v5+",5,"06-Jul-17","It doesn't heat at all..... It's battery is very powerful... Camera awesome...... The best phone sold in the market","Jul","2017",4
"154","vivo v5+",1,"02-Sep-17","Vivo is good only in marketing and advertisement.","Sep","2017",4
"155","vivo v5+",5,"11-Aug-17","I am 100% satisfied with VIVO V5...
I purchased it on Dec 2016 and it's working very well
No hang no other problems.
Cameras are awesome..
Overall performance is very good ..
Go for it.. N enjoy..
One demerit is u can use only one sim1 and memory card/sim2 because memory card and sim2 slots are same.","Aug","2017",4
"156","vivo v5+",1,"28-Sep-17","You can get much better phone within Rs. 16K with metal body (Moto G5s plus, Nokia 6), latest version of Android 7. Do you pay extra Rs. 10,000 only for additional 8MP camera??? CMOS plays an important role along camera megapixel, do this phone has a good CMOS? All Rs. 16K phones are providing good camera. For professional photos, you will always need a SLR/DSLR camera.

Does anyone buy same quality product at 50% more price?","Sep","2017",4
"157","vivo v5+",4,"21-Sep-17","Hey guys just go other ecommerce sites and get it at better price. Sale is just a gimmick. You pay more out of exictment.","Sep","2017",3
"158","vivo v5+",4,"07-Aug-17","My favourite phone and customer enjoy this phone please!!
And thanks for this Phone","Aug","2017",4
"159","vivo v5+",1,"27-Sep-17","Not worth to money.
1)Phone hanging
2) contacts multiplying automatically.
3) 20Mp front camera , it's not even 10 MP worth","Sep","2017",4
"160","vivo v5+",5,"17-Jul-17","good phone","Jul","2017",4
"161","vivo v5+",1,"09-Aug-17","worst phone getting heat","Aug","2017",2
"162","vivo v5+",4,"12-Aug-17","its really gud mobile to use it","Aug","2017",4
"163","vivo v5+",5,"31-Aug-17","great phone","Aug","2017",4
"164","vivo v5+",5,"23-Aug-17","excellent","Aug","2017",4
"165","vivo v5+",5,"21-Jun-17","Well i am using it about 3 months.
What i like about the phone is
Selfie camera is best i have never seen my self so much better in pic.
I am a music lover . Hi fi music mode given is absolutely terrific permonance.
It takes around 90 min to charge completely.
Battrey is good . Once you full charged it will run for whole day.
Screen and touch is good and smooth.
But the phone is big in size and also it is heavy if you drop it by mistake then it will break.
Look wise without back cover you will love it .it is sexy beast.
Head phone given with phone is too good.
4gb ram.64 internal is sufficient.
It gets heat some time during charging.not too much or like heater
Other than that it does not heat.","Jun","2017",5
"166","vivo v5+",1,"26-Aug-17","Don't buy this worst mobile..........
Money waste........ Camera quality not good","Aug","2017",2
"167","vivo v5+",1,"24-Sep-17","worst phone","Sep","2017",2
"168","vivo v5+",1,"04-Sep-17","Bad phone with this price,it is not more than 18000.","Sep","2017",2
"169","vivo v5+",1,"20-Aug-17","chinese crap","Aug","2017",2
"170","vivo v5+",1,"22-Sep-17","Worst phone ever and forever","Sep","2017",2
"171","vivo v5+",1,"15-Sep-17","Very bad in every aspect....plz dont buy it","Sep","2017",2
"172","vivo v5+",1,"24-Jul-17","Don't buy chinese products and protect our borders and soldiers my brave Indian friends","Jul","2017",4
"173","vivo v5+",5,"07-Jul-17","Top phone at this price point","Jul","2017",4
"174","vivo v5+",1,"20-Jul-17","don’t buy chinese products","Jul","2017",3
"175","vivo v5+",1,"22-Jul-17","Bad phone you will get much better specs in this price segment. So don't choose this phone…","Jul","2017",3
"176","vivo v5+",1,"01-Jul-17","??","Jul","2017",3
"177","vivo v5+",1,"28-Jun-18","cry","Jun","2018",2
"178","vivo v5+",3,"25-Apr-18","getting frequent switch off. Micromax YU Yureka is far better when compared to performance…","Apr","2018",4
"179","vivo v5+",5,"25-Dec-17","Great phone selfie superr","Dec","2017",4
"180","vivo v5+",5,"27-Jan-18","very good","Jan","2018",4
"181","vivo v5+",5,"12-Jan-18","A++","Jan","2018",3
"182","vivo v5+",4,"17-Dec-17","nice","Dec","2017",4
"183","vivo v5+",4,"28-Oct-17","I ordered vivo v5 as this is made for selfie and music , I just wanted to give an try keep in mind all brands are considering china brands. I am a prime member so it was one day delivery. Got the phone and started using it, took some selfie, it was good than what I was thinking . Bookeh effect work well than all.","Oct","2017",4
"184","vivo v5+",5,"01-Feb-18","nice product as expected","Feb","2018",4
"185","vivo v5+",5,"27-Dec-17","After using one week I am writing this review.
No heating problem,quick charging is there,supporting volte signal, updating to Android nougt 7,one day charging is there if we are continuously on net.","Dec","2017",3
"186","vivo v5+",5,"23-Nov-17","Quite satisfied till now. Actually it's a worth buy at this rate. Camera is the highlight of this phone (both front and rear). Battery backup is Good.","Nov","2017",4
"187","vivo v5+",3,"30-Oct-17","Vivo 3 star amazon 5 star","Oct","2017",3
"188","vivo v5+",5,"15-Oct-17","nothing like","Oct","2017",4
"189","vivo v5+",1,"04-Oct-17","After 2 weeks usage:

Camera : Decent selfies not gr8 as advertised. Rear camera not so good images blur when zoomed.

Performance : This is where this phone lags and even with 4 gb ram and snapdragon processor this phone is extremely slow it cant handle even 3 apps. Doing multitasking is hazard on this phone if you are listerning music and browsing internet or just opened another app there is so much lag!! Zero for speed performance to this phone. Even 2 gb ram and lower processor phones are way fast and multitask good but this phone is pathetic i dont expect such lags in this configuration. So straightaway reject this phone!!

Battery: So far good lasts daya with avg usage.

So my opinion Do Not Buy this at all! we could not bear a phone with this specs to cannit handle few apps simultaneously.","Oct","2017",2
"190","vivo v5+",1,"01-Nov-17","Used for 20 days and then not starting at all.","Nov","2017",3
"191","vivo v5+",5,"21-Mar-18","Vivo V5 Plus launched at Rs 27,980 earlier this year. The smartphone is now available at Rs 22,990. The device features a 5.5-inch HD display of 720x1280 pixel resolution and is powered by 2GHz octa-core Qualcomm Snapdragon 625 processor coupled with 4GB of RAM. Running on Android 6.0 Marshmallow, the device offers 32GB of internal storage and can hold microSD cards of up to 128GB. It comes with dual selfie cameras at the front. One is 20MP camera with Sony IMX376 sensor and f/2.0 aperture, the other is an 8MP camera. At the back, there is a 16MP rear camera.The smartphone has 3055mAh of battery as well.","Mar","2018",4
"192","vivo v5+",3,"25-Sep-17","I bought under Exchange. But Amazon continue to Invoice on quoted price without considering the Exchange. Be careful when you are buying with Exchange. The product is worth 16K not more than that. My old phone was working better than this. If Amazon / Cloudtail does any mischief I shall RETURN the product.","Sep","2017",4
"193","vivo v5+",5,"09-Dec-17","Over all I am fully satisfied with this phone along with its features. I should recommend this phone to my friends.","Dec","2017",4
"194","vivo v5+",5,"12-Dec-17","mobile good but price high","Dec","2017",4
"195","vivo v5+",5,"29-Nov-17","A great phone, very comfortable to use with lots of features of the new age.... What else is expected from a smartphone? It is just great... I am proud to be a Vivo V5Plus user.","Nov","2017",4
"196","vivo v5+",4,"06-Aug-17","It is good product
The camera photo quality is very good
It's also look like iPhone, charging is very fast, sound also amazing, totally it is a great product ,thank u for giving such a feature in reasonable price, thank u","Aug","2017",5
"197","vivo v5+",1,"01-Sep-17","World worst phone ,don't buy it.cpu ,GPU of this phone is very poor ,heating problem is there .","Sep","2017",2
"198","vivo v5+",5,"06-Sep-17","very nice mobile","Sep","2017",4
"199","vivo v5+",1,"08-Sep-17","Worst specification in this high price. Never go for this phone.","Sep","2017",2
"200","vivo v5+",1,"08-Sep-17","waste of money...don't buy please","Sep","2017",2
